,interview,task,meandistance,stddevdistance,maxdistance,mindistance,startdistance,enddistance
0,EA-004,EA-004_allsc,656.314169137,12.6724046262,688.44,575.1,669.84,659.32
1,EA-004,Reading,649.72305372,14.4148598261,682.7,575.1,665.18,650.27
2,EA-004,Memory,656.327126326,10.4936214709,688.44,601.87,644.37,659.32
3,EA-004,CookieTheft,661.093712252,8.34831131904,672.88,576.23,659.72,659.63
4,EA-004,PupilCalib,670.071635623,1.02073725565,673.15,667.34,669.84,669.8
5,EA-007,EA-007_allsc,661.178009234,10.2231100404,694.88,547.13,671.79,661.25
6,EA-007,Reading,661.538433911,7.99651398847,694.88,547.13,682.44,664.17
7,EA-007,CookieTheft,666.832633429,5.64462246921,692.79,654.81,666.51,669.89
8,EA-007,PupilCalib,671.494896057,1.05310011021,676.52,669.25,671.79,671.95
9,EA-009,EA-009_allsc,688.468736449,5.69264858702,709.36,660.08,692.81,686.61
10,EA-009,Reading,687.014518557,7.73403578032,709.36,661.91,692.56,678.04
11,EA-009,Memory,687.260102319,3.31101187681,698.77,660.08,681.49,686.61
12,EA-009,CookieTheft,690.371096018,4.45911032474,704.68,678.04,698.21,691.02
13,EA-009,PupilCalib,690.901653543,1.7246985286,696.34,685.83,692.81,691.28
14,EA-049,EA-049_allsc,635.710316068,9.88869096718,669.45,593.73,629.91,649.93
15,EA-049,Reading,633.907144949,8.01951492968,648.17,594.6,635.28,636.23
16,EA-049,Memory,642.854188894,7.31900656739,669.45,617.66,632.79,649.93
17,EA-049,CookieTheft,631.837197239,9.58156952379,656.21,593.73,633.26,629.3
18,EA-049,PupilCalib,627.274219831,0.991642434445,630.56,625.68,629.91,627.15
19,EA-063,EA-063_allsc,698.781698113,21.7832687974,773.51,663.35,697.94,696.73
20,EA-063,Reading,689.455452409,10.60595161,714.77,663.35,708.54,680.47
21,EA-063,CookieTheft,689.419175708,7.8029884921,707.87,670.3,698.34,678.25
22,EA-063,PupilCalib,696.412076271,1.48218376507,700.08,693.44,697.94,694.7
23,EA-069,EA-069_allsc,664.043984533,11.2787591239,704.91,424.4,672.03,665.17
24,EA-069,Reading,663.108196508,13.1603053071,704.91,424.4,668.13,670.61
25,EA-069,Memory,663.931352186,13.5795722575,690.41,572.64,660.66,665.17
26,EA-069,CookieTheft,663.054630396,5.97087214256,682.77,620.5,671.8,660.83
27,EA-069,PupilCalib,673.523042304,2.72931557883,677.0,661.02,672.03,675.01
28,EA-073,EA-073_allsc,684.285130095,9.89710208812,712.3,619.76,687.72,652.6
29,EA-073,Reading,684.974625024,10.9230059953,702.0,619.76,687.55,649.34
30,EA-073,CookieTheft,684.78497107,6.15566465588,712.3,668.99,687.38,674.2
31,EA-073,PupilCalib,689.196838859,1.06130460689,694.28,687.19,687.72,689.56
32,EA-084,EA-084_allsc,676.028454073,6.61488781422,715.17,634.28,688.6,659.25
33,EA-084,Reading,673.625865574,6.68662240265,697.72,645.22,675.3,666.72
34,EA-084,Memory,674.453275763,4.07776908693,688.07,659.25,671.98,659.25
35,EA-084,CookieTheft,676.20219802,4.76171612746,715.17,634.28,684.54,670.95
36,EA-084,PupilCalib,688.745609756,0.754709675858,690.1,686.37,688.6,687.1
37,EA-109,EA-109_allsc,696.17770109,6.38474641866,711.19,659.34,699.71,701.23
38,EA-109,Reading,696.443316545,6.72319004855,709.98,659.34,698.83,687.4
39,EA-109,CookieTheft,693.295939588,5.87641035864,707.06,665.75,697.99,689.25
40,EA-109,PupilCalib,700.18402571,0.946125959422,703.12,697.82,699.71,699.87
41,EA-123,EA-123_allsc,628.544313046,17.4077842868,736.2,573.13,624.23,661.21
42,EA-123,Reading,631.287423678,14.0105794229,675.17,573.13,622.75,631.61
43,EA-123,CookieTheft,614.979362326,6.44409365005,632.16,593.58,607.64,630.06
44,EA-123,PupilCalib,629.379333333,3.51210213803,639.85,615.59,624.23,639.54
45,EA-127,EA-127_allsc,743.957251826,26.6490149536,803.04,689.66,728.58,763.69
46,EA-127,Reading,768.991294447,6.68456278533,788.62,744.84,775.43,767.62
47,EA-127,Memory,769.496196613,8.93451993506,803.04,706.77,783.11,763.69
48,EA-127,CookieTheft,717.25017432,5.60881156504,736.29,689.66,714.27,719.38
49,EA-127,PupilCalib,727.21828201,2.73968032865,731.42,718.59,728.58,726.34
50,EA-135,EA-135_allsc,648.347689115,34.8154195547,980.72,354.86,658.56,650.2
51,EA-135,Reading,654.373829045,31.5280515584,809.37,387.35,660.31,655.99
52,EA-135,Memory,636.217856498,47.6849034692,980.72,354.86,664.31,650.2
53,EA-135,CookieTheft,651.529384386,17.3965811142,760.79,462.92,659.88,666.68
54,EA-135,PupilCalib,657.627776435,2.48569498836,665.42,650.1,658.56,658.65
55,EA-141,EA-141_allsc,713.982760779,10.6555402129,836.73,637.62,712.58,708.67
56,EA-141,Reading,721.702426218,14.8191332202,836.73,637.62,712.87,717.35
57,EA-141,Memory,711.542946582,7.77407697071,732.53,654.26,726.39,708.67
58,EA-141,CookieTheft,708.581332741,3.31448902727,725.54,698.61,703.7,708.92
59,EA-141,PupilCalib,713.520932256,2.14480147895,722.76,709.03,712.58,715.4
60,EA-149,EA-149_allsc,662.65761424,28.7491722785,772.52,469.45,637.26,657.68
61,EA-149,Reading,681.008325718,21.8678171825,727.92,469.45,646.18,609.7
62,EA-149,CookieTheft,631.319421943,7.57632724147,686.59,579.01,633.75,628.16
63,EA-149,PupilCalib,636.255573643,1.03607558542,638.22,629.96,637.26,636.75
64,EA-152,EA-152_allsc,614.469040267,58.3305297573,763.54,410.78,673.72,632.39
65,EA-152,Reading,607.033843802,71.5866543371,763.54,410.78,655.59,587.56
66,EA-152,CookieTheft,604.915957215,37.9309807515,679.47,441.88,673.07,550.24
67,EA-152,PupilCalib,666.174622289,3.02929618146,674.9,661.16,673.72,661.87
68,EA-169,EA-169_allsc,664.598288302,14.0628382721,722.77,582.33,652.25,684.86
69,EA-169,Reading,668.286641893,13.3374413276,698.78,582.33,651.88,672.34
70,EA-169,CookieTheft,654.423238374,8.92650476767,722.77,635.26,649.04,662.37
71,EA-169,PupilCalib,654.68035533,1.29219950158,657.14,651.11,652.25,653.63
72,EA-178,EA-178_allsc,692.820555379,21.7182633023,733.69,551.07,711.74,657.82
73,EA-178,Reading,699.758413373,14.4346678906,733.69,668.43,705.04,688.15
74,EA-178,CookieTheft,706.089039291,6.46255405022,719.14,688.08,701.18,711.55
75,EA-178,PupilCalib,707.586145064,1.55146706341,711.85,701.96,711.74,708.03
76,EA-180,EA-180_allsc,674.040809623,13.9663402918,696.92,528.77,688.05,677.71
77,EA-180,Reading,669.114009121,14.7303860848,696.92,607.8,687.34,666.7
78,EA-180,CookieTheft,683.830654562,6.43653184001,693.37,660.82,687.56,678.06
79,EA-180,PupilCalib,688.668994083,0.802104574416,690.99,686.06,688.05,687.06
80,EA-184,EA-184_allsc,650.249375291,7.18813330006,682.53,614.27,646.31,647.05
81,EA-184,Reading,655.529118486,5.29756714462,668.93,634.5,652.78,652.49
82,EA-184,Memory,648.506345203,5.74990073499,667.5,625.01,654.81,647.05
83,EA-184,CookieTheft,648.090348229,7.69460681248,682.53,614.27,653.55,646.79
84,EA-184,PupilCalib,652.160350271,1.13531176303,665.12,646.3,646.31,652.51
85,EA-194,EA-194_allsc,668.119673568,30.1449137787,720.8,560.41,647.05,664.62
86,EA-194,Reading,648.366637498,4.90739613346,660.7,634.6,640.85,645.82
87,EA-194,CookieTheft,636.699771987,4.65986199089,651.16,622.1,629.06,637.37
88,EA-194,PupilCalib,643.626184397,0.812750009385,647.05,641.41,647.05,644.08
89,EA-195,EA-195_allsc,637.528335975,9.8617863634,705.16,582.12,640.0,596.62
90,EA-195,Reading,636.484682288,9.96113725059,685.06,582.12,628.45,633.07
91,EA-195,Memory,640.988443354,11.2540308388,705.16,596.12,647.92,596.62
92,EA-195,CookieTheft,633.587013238,3.98611380544,652.78,621.5,627.42,639.65
93,EA-195,PupilCalib,635.423424879,1.91540887828,644.88,632.2,640.0,636.47
94,EE-031,CookieTheft,846.033703347,12.9776326465,883.56,776.99,839.46,832.83
95,EE-050,EE-050_allsc,669.038200937,13.8588856205,727.97,514.55,662.26,647.27
96,EE-050,Reading,669.189488916,14.1459266932,727.97,571.64,659.23,648.7
97,EE-050,CookieTheft,674.272374817,10.2595821941,706.07,639.5,667.8,680.29
98,EE-050,PupilCalib,663.730195578,3.89496257923,668.7,647.86,662.26,667.47
99,EE-057,EE-057_allsc,726.731016116,11.4350638303,799.78,677.58,737.71,739.73
100,EE-057,Reading,722.63082249,10.4113520874,793.65,682.92,737.81,695.57
101,EE-057,Memory,728.291612382,15.0529081685,799.78,677.58,732.56,739.73
102,EE-057,CookieTheft,732.360421211,7.31243975339,761.9,710.74,740.54,729.92
103,EE-057,PupilCalib,734.342221085,2.73840130013,743.35,726.28,737.71,735.25
104,EE-087,PupilCalib,677.205625832,1.93546348331,686.3,673.25,680.09,677.28
105,EE-093,EE-093_allsc,667.847611784,17.5020460438,705.06,449.81,681.87,671.89
106,EE-093,Reading,664.73351342,14.2017612909,684.07,569.64,677.03,660.73
107,EE-093,Memory,666.751722946,28.5914194093,705.06,449.81,683.41,671.89
108,EE-093,CookieTheft,669.090612838,5.89606742865,680.87,640.23,670.59,662.14
109,EE-093,PupilCalib,680.898162461,1.16855674937,684.07,678.1,681.87,680.5
110,EE-100,EE-100_allsc,677.869506276,24.0928403644,1007.21,594.07,685.85,685.56
111,EE-100,Reading,675.624263304,27.2910276274,990.55,594.07,676.2,665.23
