,interview,task,mean_Latency,med_Latency,sd_Latency,mean_Latency_f,med_Latency_f,sd_Latency_f,mean_Latency_b,med_Latency_b,sd_Latency_b,prop_dir_f,fallinAOI
0,EA-004,CookieTheft,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,0
1,EA-007,CookieTheft,675.888888889,634.0,-1.0,775.0,96.0,-1,836.888888889,708.0,-1.0,0.333333333333,0
2,EA-009,CookieTheft,380.090909091,325.0,-1.0,229.5,229.5,-1,405.0,325.0,-1.0,0.0909090909091,0
3,EA-046,CookieTheft,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,0
4,EA-049,CookieTheft,257.368421053,75.0,-1.0,289.333333333,25.0,-1,382.894736842,242.0,-1.0,0.473684210526,0
5,EA-063,CookieTheft,497.4,275.0,-1.0,150.0,150.0,-1,513.2,337.5,-1.0,0.2,0
6,EA-069,CookieTheft,475.0,475.0,-1.0,1224.0,1224.0,-1,475.0,475.0,-1.0,0.0,0
7,EA-073,CookieTheft,444.666666667,9.0,-1.0,8.5,8.5,-1,1399.66666667,1317.0,-1.0,0.666666666667,0
8,EA-084,CookieTheft,589.769230769,725.0,-1.0,529.5,167.0,-1,660.916666667,783.5,-1.0,0.307692307692,0
9,EA-109,CookieTheft,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,0
10,EA-123,CookieTheft,414.1,167.0,-1.0,706.833333333,41.5,-1,486.5,337.0,-1.0,0.4,0
11,EA-127,CookieTheft,877.666666667,917.0,-1.0,1149.4,225.0,-1,962.777777778,917.0,-1.0,0.333333333333,0
12,EA-135,CookieTheft,536.333333333,675.0,-1.0,1417.0,1417.0,-1,691.666666667,675.0,-1.0,0.333333333333,0
13,EA-141,CookieTheft,1322.33333333,1362.5,-1.0,2272.33333333,2592.0,-1,1322.33333333,1362.5,-1.0,0.0,0
14,EA-149,CookieTheft,1341.625,1371.0,1200.33863525,1234.66666667,1241.5,-1,1043.0,617.0,-1.0,0.75,0
15,EA-152,CookieTheft,634.9,364.5,-1.0,1092.0,421.5,-1,820.5,770.5,-1.0,0.4,0
16,EA-169,CookieTheft,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,0
17,EA-175,CookieTheft,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,0
18,EA-178,CookieTheft,400.0,133.0,-1.0,183.2,108.0,-1,739.0,683.0,-1.0,0.833333333333,0
19,EA-180,CookieTheft,553.0,308.0,-1.0,291.0,291.0,-1,786.4,583.0,-1.0,0.2,0
20,EA-184,CookieTheft,433.454545455,159.0,-1.0,572.166666667,354.5,-1,512.7,217.0,-1.0,0.363636363636,0
21,EA-194,CookieTheft,945.444444444,192.0,-1.0,1019.75,321.0,-1,472.571428571,192.0,-1.0,0.666666666667,0
22,EA-195,CookieTheft,796.0,592.0,-1.0,2791.0,2791.0,-1,796.0,592.0,-1.0,0.0,0
23,EE-031,CookieTheft,1119.33333333,1208.0,-1.0,1152.66666667,375.0,-1,1213.83333333,1208.0,-1.0,0.166666666667,0
24,EE-050,CookieTheft,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,0
