,index,1,metric,model
0,0,0.666667,acc,RandomForest
1,1,0.5,acc,RandomForest
2,2,0.714286,acc,RandomForest
3,3,0.571429,acc,RandomForest
4,4,0.5,acc,RandomForest
5,5,0.923077,acc,RandomForest
6,6,0.615385,acc,RandomForest
7,7,0.769231,acc,RandomForest
8,8,0.615385,acc,RandomForest
9,9,0.615385,acc,RandomForest
10,10,0.571429,roc,RandomForest
11,11,0.44898,roc,RandomForest
12,12,0.765306,roc,RandomForest
13,13,0.673469,roc,RandomForest
14,14,0.673469,roc,RandomForest
15,15,0.857143,roc,RandomForest
16,16,0.607143,roc,RandomForest
17,17,0.952381,roc,RandomForest
18,18,0.75,roc,RandomForest
19,19,0.77381,roc,RandomForest
20,20,0.615385,fms,RandomForest
21,21,0.461538,fms,RandomForest
22,22,0.777778,fms,RandomForest
23,23,0.571429,fms,RandomForest
24,24,0.222222,fms,RandomForest
25,25,0.909091,fms,RandomForest
26,26,0.545455,fms,RandomForest
27,27,0.666667,fms,RandomForest
28,28,0.545455,fms,RandomForest
29,29,0.545455,fms,RandomForest
30,30,0.666667,precision,RandomForest
31,31,0.5,precision,RandomForest
32,32,0.636364,precision,RandomForest
33,33,0.571429,precision,RandomForest
34,34,0.5,precision,RandomForest
35,35,1.0,precision,RandomForest
36,36,0.6,precision,RandomForest
37,37,1.0,precision,RandomForest
38,38,0.6,precision,RandomForest
39,39,0.6,precision,RandomForest
40,40,0.571429,recall,RandomForest
41,41,0.428571,recall,RandomForest
42,42,1.0,recall,RandomForest
43,43,0.571429,recall,RandomForest
44,44,0.142857,recall,RandomForest
45,45,0.833333,recall,RandomForest
46,46,0.5,recall,RandomForest
47,47,0.5,recall,RandomForest
48,48,0.5,recall,RandomForest
49,49,0.5,recall,RandomForest
50,50,0.8,acc,GausNaiveBayes
51,51,0.428571,acc,GausNaiveBayes
52,52,1.0,acc,GausNaiveBayes
53,53,0.642857,acc,GausNaiveBayes
54,54,0.5,acc,GausNaiveBayes
55,55,0.846154,acc,GausNaiveBayes
56,56,0.538462,acc,GausNaiveBayes
57,57,0.692308,acc,GausNaiveBayes
58,58,0.615385,acc,GausNaiveBayes
59,59,0.846154,acc,GausNaiveBayes
60,60,0.660714,roc,GausNaiveBayes
61,61,0.581633,roc,GausNaiveBayes
62,62,1.0,roc,GausNaiveBayes
63,63,0.714286,roc,GausNaiveBayes
64,64,0.653061,roc,GausNaiveBayes
65,65,0.880952,roc,GausNaiveBayes
66,66,0.738095,roc,GausNaiveBayes
67,67,0.880952,roc,GausNaiveBayes
68,68,0.666667,roc,GausNaiveBayes
69,69,0.904762,roc,GausNaiveBayes
70,70,0.769231,fms,GausNaiveBayes
71,71,0.2,fms,GausNaiveBayes
72,72,1.0,fms,GausNaiveBayes
73,73,0.545455,fms,GausNaiveBayes
74,74,0.222222,fms,GausNaiveBayes
75,75,0.833333,fms,GausNaiveBayes
76,76,0.4,fms,GausNaiveBayes
77,77,0.666667,fms,GausNaiveBayes
78,78,0.615385,fms,GausNaiveBayes
79,79,0.8,fms,GausNaiveBayes
80,80,0.833333,precision,GausNaiveBayes
81,81,0.333333,precision,GausNaiveBayes
82,82,1.0,precision,GausNaiveBayes
83,83,0.75,precision,GausNaiveBayes
