,interview,task,blinknum,blinkdurationtotal,blinkdurationmean,blinkdurationstd,blinkdurationmin,blinkdurationmax,blinkrate
0,EA-004,EA-004_allsc,25,3733,149.32,36.8009510747,100,242,0.000137205077686
1,EA-004,Reading,10,1609,160.9,42.3751761714,116,242,0.000160253842086
2,EA-004,Memory,11,1616,146.909090909,33.2940071047,100,192,0.000171939477304
3,EA-004,CookieTheft,4,508,127.0,24.899799196,100,158,9.69673462462e-05
4,EA-004,PupilCalib,0,-1,-1.0,-1.0,-1,-1,-1.0
5,EA-007,EA-007_allsc,78,14480,185.641025641,48.4958089926,100,292,0.000490106755305
6,EA-007,Reading,26,4900,188.461538462,48.0018589384,117,283,0.000513509243166
7,EA-007,CookieTheft,13,2325,178.846153846,39.6964443283,125,242,0.000471048626712
8,EA-007,PupilCalib,0,-1,-1.0,-1.0,-1,-1,-1.0
9,EA-009,EA-009_allsc,70,13758,196.542857143,55.663764321,100,300,0.000480881524532
10,EA-009,Reading,25,3871,154.84,57.5823178878,100,267,0.000497522338753
11,EA-009,Memory,42,9269,220.69047619,36.2756977679,142,300,0.00111219977226
12,EA-009,CookieTheft,2,501,250.5,12.0208152802,242,259,4.37435751624e-05
13,EA-009,PupilCalib,1,117,117.0,0.0,117,117,8.45094228006e-05
14,EA-049,EA-049_allsc,74,12232,165.297297297,37.2557726445,100,275,0.000277307271446
15,EA-049,Reading,5,775,155.0,26.9536639439,133,192,0.000106828476199
16,EA-049,Memory,41,7627,186.024390244,34.1939232941,125,275,0.000458797726154
17,EA-049,CookieTheft,27,3730,138.148148148,18.9527828355,100,175,0.000225403848562
18,EA-049,PupilCalib,1,100,100.0,0.0,100,100,9.17515368382e-05
19,EA-063,EA-063_allsc,25,3876,155.04,40.9750737237,108,259,0.000164828281896
20,EA-063,Reading,8,1333,166.625,38.7848921249,109,225,0.000149156334483
21,EA-063,CookieTheft,3,409,136.333333333,33.486315613,117,175,4.9039640376e-05
22,EA-063,PupilCalib,0,-1,-1.0,-1.0,-1,-1,-1.0
23,EA-069,EA-069_allsc,49,8198,167.306122449,58.4124002537,100,291,0.000332661221885
24,EA-069,Reading,27,4631,171.518518519,62.6334700216,100,291,0.000520984081042
25,EA-069,Memory,6,1091,181.833333333,45.2787661787,108,225,0.000161281651524
26,EA-069,CookieTheft,13,1984,152.615384615,58.4458987177,100,284,0.000270483958221
27,EA-069,PupilCalib,3,492,164.0,54.5618914628,108,217,0.000293887147335
28,EA-073,EA-073_allsc,66,10255,155.378787879,50.1943193695,100,292,0.000459261424128
29,EA-073,Reading,52,8231,158.288461538,53.231767214,100,292,0.000557533130334
30,EA-073,CookieTheft,2,325,162.5,41.71930009,133,192,0.000111656989728
31,EA-073,PupilCalib,1,116,116.0,0.0,116,116,8.94934669769e-05
32,EA-084,EA-084_allsc,30,5125,170.833333333,59.0564214928,100,292,0.000213036407922
33,EA-084,Reading,12,1836,153.0,64.6782245216,100,292,0.000220026036414
34,EA-084,Memory,5,1007,201.4,41.2468180591,166,267,0.000332535248736
35,EA-084,CookieTheft,12,2157,179.75,57.8228092774,116,283,0.000198465202435
36,EA-084,PupilCalib,1,125,125.0,0.0,125,125,9.27471712113e-05
37,EA-109,EA-109_allsc,63,11768,186.793650794,55.4876210345,100,300,0.000278376754215
38,EA-109,Reading,8,1357,169.625,68.5459960277,100,291,6.65324928062e-05
39,EA-109,CookieTheft,13,2610,200.769230769,62.1291046211,100,283,0.000210826765269
40,EA-109,PupilCalib,0,-1,-1.0,-1.0,-1,-1,-1.0
41,EA-123,EA-123_allsc,77,13408,174.12987013,53.1946155391,100,300,0.000636421492863
42,EA-123,Reading,23,4040,175.652173913,55.6977302424,100,291,0.000538616458246
43,EA-123,CookieTheft,25,4217,168.68,47.1466859917,108,291,0.000591856060606
44,EA-123,PupilCalib,6,1000,166.666666667,45.4386032649,100,209,0.000332225913621
45,EA-127,EA-127_allsc,122,19305,158.237704918,37.9876128742,100,283,0.000438319153828
46,EA-127,Reading,16,2576,161.0,39.3107279675,117,275,0.000324760996204
47,EA-127,Memory,82,13033,158.93902439,36.7750410398,108,283,0.000886285275775
48,EA-127,CookieTheft,24,3696,154.0,42.371031942,100,266,0.000190388551302
49,EA-127,PupilCalib,0,-1,-1.0,-1.0,-1,-1,-1.0
50,EA-135,EA-135_allsc,175,30097,171.982857143,59.5159086513,100,300,0.000539178230756
51,EA-135,Reading,85,14110,166.0,57.6611613117,100,300,0.000689056964745
52,EA-135,Memory,44,7793,177.113636364,61.117962917,100,292,0.000422398648324
53,EA-135,CookieTheft,38,6435,169.342105263,62.5785026191,100,291,0.000457991346374
54,EA-135,PupilCalib,8,1759,219.875,35.2883529956,175,284,0.000568464435444
55,EA-141,EA-141_allsc,102,14343,140.617647059,43.3525826009,100,291,0.000519464645847
56,EA-141,Reading,31,4912,158.451612903,52.945782778,100,291,0.000591524033049
57,EA-141,Memory,58,7781,134.155172414,36.2804871068,100,291,0.000538432974378
58,EA-141,CookieTheft,8,1108,138.5,42.7183466775,100,217,0.00038206218062
