,interview,mean_Sacc_Ampl,sd_Sacc_Ampl,mean_Sacc_Dist,sd_Sacc_Dist,mean_Regr_Ampl,sd_Regr_Ampl,mean_Regr_Dist,sd_Regr_Dist,max_Regr_Ampl,max_Regr_Dist,count_Fix,count_FirstPass_FirstFix,count_LaterPass_FirstFix,count_MultiFix,count_ReFix,mean_FirstPass_FirstFix_Duration,sd_FirstPass_FirstFix_Duration,mean_Wrapup_Duration,sd_Wrapup_Duration,ratio_Wrapup,mean_Wrapup_Line_Duration,sd_Wrapup_Line_Duration,ratio_Wrapup_Line,task
0,EA-004,152.082789909,194.29614673,3.20261437908,4.90214705528,183.098113363,183.57423358,7.12244897959,5.89714850959,796.106148701,20,221,51,50,29,91,164.705882353,92.8974260392,163.4,77.0137279043,1.01708415168,132.833333333,72.5041580958,0.813306188106,Reading
1,EA-007,225.148938293,313.679759879,2.74603174603,4.38531459841,175.002227925,278.310460148,5.77777777778,5.77735041154,1343.78755761,16,178,51,52,30,45,145.0,75.2534384596,163.8,49.9502609746,1.13176211267,125.0,43.5258543856,0.850607717421,Reading
2,EA-009,192.262010167,301.78105678,1.5421686747,6.57967707565,118.161355821,112.227174473,5.80952380952,18.17035786,537.841054588,84,187,99,11,63,14,187.323232323,134.78863486,219.875,252.536433015,1.24120642414,156.833333333,39.3721559819,0.863635441703,Reading
3,EA-049,220.617959799,312.19832987,1.31468531469,0.959897151324,110.742626569,101.941823452,5.09090909091,17.7629594176,568.225307427,100,178,102,15,39,22,199.676470588,98.3272130543,172.909090909,102.230577173,0.886169040412,136.222222222,54.2189491271,0.692148629192,Reading
4,EA-063,177.80128429,262.826467579,2.17419354839,3.72103251119,338.903966655,509.164778639,6.67857142857,7.52306857915,1405.06014106,32,187,104,13,45,25,166.173076923,84.2322773624,153.6875,93.4414032072,0.938591517857,141.6,90.1457549908,0.859544732663,Reading
5,EA-069,208.871548346,322.335872398,4.10687022901,11.5965856437,178.470720278,168.119198541,14.5277777778,24.9691078977,867.762640357,117,174,7,87,1,79,150.142857143,93.5617952148,147.642857143,56.1941786512,1.005270741,199.8,31.4038214235,1.37445353523,Reading
6,EA-073,146.841596012,261.218360712,0.882591093117,1.83196010104,91.0586869815,41.2759304109,1.84210526316,3.0449454421,201.15914098,15,291,110,18,82,81,248.663636364,144.755870238,208.875,112.854995459,0.831593024771,228.571428571,129.499459034,0.914748041816,Reading
7,EA-084,207.000455507,320.337654217,1.4303030303,2.35098381696,247.068834107,383.945036327,2.70967741935,4.31426740314,1481.65448064,17,196,96,9,56,35,165.1875,93.1621464239,210.411764706,155.216002245,1.27552512471,137.5,139.685360722,0.807686299016,Reading
8,EA-109,101.243995166,215.659283327,0.863354037267,2.1355816455,142.385668744,237.685051546,3.77142857143,5.08796569937,1322.71009673,14,381,102,37,149,93,269.039215686,158.376223436,215.3,113.218175098,0.854799959279,302.777777778,180.070102544,1.22917971429,Reading
9,EA-123,226.812385435,317.894861426,3.89147286822,10.6053055046,175.00865936,292.925533405,12.064516129,23.422119864,1379.609365,134,160,36,60,17,47,172.861111111,93.9100337794,175.533333333,91.3086341299,1.00170543246,153.772727273,67.6629826477,0.860563541248,Reading
10,EA-127,191.990559032,304.806652976,1.49397590361,2.61405754023,160.71708003,248.760301497,6.03571428571,13.980097342,1352.37642689,73,194,83,39,36,36,171.710843373,72.4909632922,143.0,64.5628657694,0.907524932004,147.636363636,51.1727910657,0.939084273391,Reading
11,EA-135,150.716682254,247.103768595,4.13362068966,9.49797375489,158.049374721,172.032828398,8.79166666667,11.7821601689,1098.02231307,96,394,13,101,5,275,110.384615385,46.992088805,124.888888889,50.5986385412,0.856479877108,112.5,64.7674160502,0.771197846568,Reading
12,EA-141,215.96552076,315.184675827,2.39130434783,4.02774511854,147.478301703,153.464145741,5.79166666667,5.74818812033,612.885796866,16,140,59,28,34,19,132.372881356,70.690656434,88.5,25.988245206,0.629273095225,96.0,5.65685424949,0.698145025295,Reading
