1,metric,model
0.7058823529411765,acc,Language
0.5882352941176471,acc,Language
0.75,acc,Language
0.75,acc,Language
0.625,acc,Language
0.625,acc,Language
0.625,acc,Language
0.75,acc,Language
0.625,acc,Language
0.5,acc,Language
0.7714285714285715,roc,Language
0.75,roc,Language
0.6500000000000001,roc,Language
0.9583333333333334,roc,Language
0.6666666666666667,roc,Language
0.734375,roc,Language
0.6507936507936508,roc,Language
0.873015873015873,roc,Language
0.753968253968254,roc,Language
0.4181818181818182,roc,Language
0.7368421052631577,fms,Language
0.5333333333333333,fms,Language
0.6666666666666666,fms,Language
0.6666666666666666,fms,Language
0.7272727272727274,fms,Language
0.6666666666666665,fms,Language
0.5714285714285714,fms,Language
0.7142857142857143,fms,Language
0.6250000000000001,fms,Language
0.42857142857142855,fms,Language
0.7777777777777778,precision,Language
0.36363636363636365,precision,Language
0.6666666666666666,precision,Language
0.5,precision,Language
0.8888888888888888,precision,Language
0.6,precision,Language
0.5714285714285714,precision,Language
0.7142857142857143,precision,Language
0.7142857142857143,precision,Language
1.0,precision,Language
0.7,recall,Language
1.0,recall,Language
0.6666666666666666,recall,Language
1.0,recall,Language
0.6153846153846154,recall,Language
0.75,recall,Language
0.5714285714285714,recall,Language
0.7142857142857143,recall,Language
0.5555555555555556,recall,Language
0.2727272727272727,recall,Language
0.7142857142857143,specificity,Language
0.46153846153846156,specificity,Language
0.8,specificity,Language
0.6666666666666666,specificity,Language
0.6666666666666666,specificity,Language
0.5,specificity,Language
0.6666666666666666,specificity,Language
0.7777777777777778,specificity,Language
0.7142857142857143,specificity,Language
1.0,specificity,Language
