1,metric,model
0.8823529411764706,acc,NLP_Reading
0.6470588235294118,acc,NLP_Reading
0.8125,acc,NLP_Reading
0.6875,acc,NLP_Reading
0.875,acc,NLP_Reading
0.8125,acc,NLP_Reading
0.6875,acc,NLP_Reading
0.5625,acc,NLP_Reading
0.5625,acc,NLP_Reading
0.625,acc,NLP_Reading
1.0,roc,NLP_Reading
0.6742424242424242,roc,NLP_Reading
0.875,roc,NLP_Reading
0.7421875,roc,NLP_Reading
0.9206349206349207,roc,NLP_Reading
0.8888888888888888,roc,NLP_Reading
0.7301587301587302,roc,NLP_Reading
0.6507936507936508,roc,NLP_Reading
0.5079365079365079,roc,NLP_Reading
0.6484375,roc,NLP_Reading
0.8333333333333333,fms,NLP_Reading
0.6666666666666665,fms,NLP_Reading
0.8421052631578948,fms,NLP_Reading
0.6666666666666666,fms,NLP_Reading
0.8750000000000001,fms,NLP_Reading
0.823529411764706,fms,NLP_Reading
0.7058823529411764,fms,NLP_Reading
0.5333333333333333,fms,NLP_Reading
0.36363636363636365,fms,NLP_Reading
0.625,fms,NLP_Reading
0.7142857142857143,precision,NLP_Reading
0.8571428571428571,precision,NLP_Reading
0.7272727272727273,precision,NLP_Reading
0.7142857142857143,precision,NLP_Reading
0.7777777777777778,precision,NLP_Reading
0.875,precision,NLP_Reading
0.6,precision,NLP_Reading
0.6666666666666666,precision,NLP_Reading
0.5,precision,NLP_Reading
0.625,precision,NLP_Reading
1.0,recall,NLP_Reading
0.5454545454545454,recall,NLP_Reading
1.0,recall,NLP_Reading
0.625,recall,NLP_Reading
1.0,recall,NLP_Reading
0.7777777777777778,recall,NLP_Reading
0.8571428571428571,recall,NLP_Reading
0.4444444444444444,recall,NLP_Reading
0.2857142857142857,recall,NLP_Reading
0.625,recall,NLP_Reading
0.8333333333333334,specificity,NLP_Reading
0.8333333333333334,specificity,NLP_Reading
0.625,specificity,NLP_Reading
0.75,specificity,NLP_Reading
0.7777777777777778,specificity,NLP_Reading
0.8571428571428571,specificity,NLP_Reading
0.5555555555555556,specificity,NLP_Reading
0.7142857142857143,specificity,NLP_Reading
0.7777777777777778,specificity,NLP_Reading
0.625,specificity,NLP_Reading
