1,metric,model
0.4375,acc,PupilCalib
0.5555555555555556,acc,PupilCalib
0.9090909090909091,acc,PupilCalib
0.5833333333333334,acc,PupilCalib
0.6363636363636364,acc,PupilCalib
0.7333333333333333,acc,PupilCalib
0.5,acc,PupilCalib
0.46153846153846156,acc,PupilCalib
0.8181818181818182,acc,PupilCalib
0.6428571428571429,acc,PupilCalib
0.515625,roc,PupilCalib
0.35714285714285715,roc,PupilCalib
0.9791666666666666,roc,PupilCalib
0.6428571428571428,roc,PupilCalib
0.7166666666666667,roc,PupilCalib
0.6964285714285714,roc,PupilCalib
0.5208333333333334,roc,PupilCalib
0.5333333333333333,roc,PupilCalib
0.9642857142857143,roc,PupilCalib
0.6938775510204082,roc,PupilCalib
0.0,fms,PupilCalib
0.7142857142857143,fms,PupilCalib
0.8,fms,PupilCalib
0.6153846153846153,fms,PupilCalib
0.5,fms,PupilCalib
0.75,fms,PupilCalib
0.5882352941176471,fms,PupilCalib
0.2222222222222222,fms,PupilCalib
0.75,fms,PupilCalib
0.6666666666666666,fms,PupilCalib
0.0,precision,PupilCalib
0.7142857142857143,precision,PupilCalib
1.0,precision,PupilCalib
0.6666666666666666,precision,PupilCalib
0.6666666666666666,precision,PupilCalib
0.75,precision,PupilCalib
0.5555555555555556,precision,PupilCalib
0.16666666666666666,precision,PupilCalib
0.75,precision,PupilCalib
0.625,precision,PupilCalib
0.0,recall,PupilCalib
0.7142857142857143,recall,PupilCalib
0.6666666666666666,recall,PupilCalib
0.5714285714285714,recall,PupilCalib
0.4,recall,PupilCalib
0.75,recall,PupilCalib
0.625,recall,PupilCalib
0.3333333333333333,recall,PupilCalib
0.75,recall,PupilCalib
0.7142857142857143,recall,PupilCalib
0.875,specificity,PupilCalib
0.0,specificity,PupilCalib
1.0,specificity,PupilCalib
0.6,specificity,PupilCalib
0.8333333333333334,specificity,PupilCalib
0.7142857142857143,specificity,PupilCalib
0.3333333333333333,specificity,PupilCalib
0.5,specificity,PupilCalib
0.8571428571428571,specificity,PupilCalib
0.5714285714285714,specificity,PupilCalib
