1,metric,model
0.7647058823529411,acc,stack
0.8235294117647058,acc,stack
0.6875,acc,stack
0.625,acc,stack
0.6875,acc,stack
0.875,acc,stack
0.8125,acc,stack
0.6875,acc,stack
0.625,acc,stack
0.5625,acc,stack
0.8,roc,stack
0.875,roc,stack
0.6746031746031745,roc,stack
0.7333333333333334,roc,stack
0.8416666666666667,roc,stack
0.9416666666666667,roc,stack
0.890625,roc,stack
0.78125,roc,stack
0.575,roc,stack
0.7909090909090909,roc,stack
0.7777777777777778,fms,stack
0.8695652173913043,fms,stack
0.6666666666666666,fms,stack
0.4,fms,stack
0.761904761904762,fms,stack
0.8571428571428571,fms,stack
0.7999999999999999,fms,stack
0.6153846153846154,fms,stack
0.625,fms,stack
0.4615384615384615,fms,stack
0.6363636363636364,precision,stack
0.9090909090909091,precision,stack
0.625,precision,stack
0.5,precision,stack
0.7272727272727273,precision,stack
0.75,precision,stack
0.8571428571428571,precision,stack
0.8,precision,stack
0.8333333333333334,precision,stack
0.375,precision,stack
1.0,recall,stack
0.8333333333333334,recall,stack
0.7142857142857143,recall,stack
0.3333333333333333,recall,stack
0.8,recall,stack
1.0,recall,stack
0.75,recall,stack
0.5,recall,stack
0.5,recall,stack
0.6,recall,stack
0.6,specificity,stack
0.8,specificity,stack
0.6666666666666666,specificity,stack
0.8,specificity,stack
0.5,specificity,stack
0.8,specificity,stack
0.875,specificity,stack
0.875,specificity,stack
0.8333333333333334,specificity,stack
0.5454545454545454,specificity,stack
