1,metric,model
0.7058823529411765,acc,Memory
0.7058823529411765,acc,Memory
0.6875,acc,Memory
0.5,acc,Memory
0.625,acc,Memory
0.75,acc,Memory
0.625,acc,Memory
0.625,acc,Memory
0.75,acc,Memory
0.8125,acc,Memory
0.6944444444444444,roc,Memory
0.7361111111111112,roc,Memory
0.8090909090909091,roc,Memory
0.4833333333333333,roc,Memory
0.5416666666666666,roc,Memory
0.8359375,roc,Memory
0.6354166666666666,roc,Memory
0.609375,roc,Memory
0.8492063492063492,roc,Memory
0.7604166666666666,roc,Memory
0.6666666666666667,fms,Memory
0.7058823529411765,fms,Memory
0.7826086956521738,fms,Memory
0.2,fms,Memory
0.4,fms,Memory
0.7142857142857143,fms,Memory
0.7272727272727272,fms,Memory
0.625,fms,Memory
0.6666666666666666,fms,Memory
0.6666666666666665,fms,Memory
0.8333333333333334,precision,Memory
0.6666666666666666,precision,Memory
0.75,precision,Memory
0.25,precision,Memory
0.5,precision,Memory
0.8333333333333334,precision,Memory
0.8,precision,Memory
0.625,precision,Memory
0.8,precision,Memory
0.6,precision,Memory
0.5555555555555556,recall,Memory
0.75,recall,Memory
0.8181818181818182,recall,Memory
0.16666666666666666,recall,Memory
0.3333333333333333,recall,Memory
0.625,recall,Memory
0.6666666666666666,recall,Memory
0.625,recall,Memory
0.5714285714285714,recall,Memory
0.75,recall,Memory
0.875,specificity,Memory
0.6666666666666666,specificity,Memory
0.4,specificity,Memory
0.7,specificity,Memory
0.8,specificity,Memory
0.875,specificity,Memory
0.5,specificity,Memory
0.625,specificity,Memory
0.8888888888888888,specificity,Memory
0.8333333333333334,specificity,Memory
