1,metric,model
0.4666666666666667,acc,Eye_Reading
0.6875,acc,Eye_Reading
0.6428571428571429,acc,Eye_Reading
0.5,acc,Eye_Reading
0.7142857142857143,acc,Eye_Reading
0.8,acc,Eye_Reading
0.8125,acc,Eye_Reading
0.5,acc,Eye_Reading
0.6428571428571429,acc,Eye_Reading
0.8571428571428571,acc,Eye_Reading
0.6136363636363636,roc,Eye_Reading
0.7333333333333334,roc,Eye_Reading
0.7755102040816328,roc,Eye_Reading
0.6354166666666667,roc,Eye_Reading
0.8875,roc,Eye_Reading
0.8035714285714286,roc,Eye_Reading
0.8181818181818181,roc,Eye_Reading
0.5555555555555556,roc,Eye_Reading
0.6333333333333333,roc,Eye_Reading
0.8541666666666667,roc,Eye_Reading
0.5000000000000001,fms,Eye_Reading
0.6666666666666667,fms,Eye_Reading
0.5454545454545454,fms,Eye_Reading
0.4615384615384615,fms,Eye_Reading
0.6666666666666666,fms,Eye_Reading
0.823529411764706,fms,Eye_Reading
0.7272727272727272,fms,Eye_Reading
0.5714285714285715,fms,Eye_Reading
0.4444444444444445,fms,Eye_Reading
0.8571428571428571,fms,Eye_Reading
0.8,precision,Eye_Reading
0.5555555555555556,precision,Eye_Reading
0.75,precision,Eye_Reading
0.6,precision,Eye_Reading
0.5,precision,Eye_Reading
0.7777777777777778,precision,Eye_Reading
0.6666666666666666,precision,Eye_Reading
0.5,precision,Eye_Reading
0.5,precision,Eye_Reading
1.0,precision,Eye_Reading
0.36363636363636365,recall,Eye_Reading
0.8333333333333334,recall,Eye_Reading
0.42857142857142855,recall,Eye_Reading
0.375,recall,Eye_Reading
1.0,recall,Eye_Reading
0.875,recall,Eye_Reading
0.8,recall,Eye_Reading
0.6666666666666666,recall,Eye_Reading
0.4,recall,Eye_Reading
0.75,recall,Eye_Reading
0.75,specificity,Eye_Reading
0.6,specificity,Eye_Reading
0.8571428571428571,specificity,Eye_Reading
0.6666666666666666,specificity,Eye_Reading
0.6,specificity,Eye_Reading
0.7142857142857143,specificity,Eye_Reading
0.8181818181818182,specificity,Eye_Reading
0.3333333333333333,specificity,Eye_Reading
0.7777777777777778,specificity,Eye_Reading
1.0,specificity,Eye_Reading
