1,metric,model
0.6428571428571429,acc,Eye
0.5625,acc,Eye
0.75,acc,Eye
0.8571428571428571,acc,Eye
0.6875,acc,Eye
0.6153846153846154,acc,Eye
0.8461538461538461,acc,Eye
0.6923076923076923,acc,Eye
0.6875,acc,Eye
0.6,acc,Eye
0.6632653061224489,roc,Eye
0.5727272727272728,roc,Eye
0.8174603174603174,roc,Eye
0.8444444444444444,roc,Eye
0.6904761904761905,roc,Eye
0.5874999999999999,roc,Eye
0.8928571428571428,roc,Eye
0.8333333333333334,roc,Eye
0.7636363636363637,roc,Eye
0.4464285714285714,roc,Eye
0.5454545454545454,fms,Eye
0.3636363636363636,fms,Eye
0.7777777777777778,fms,Eye
0.8000000000000002,fms,Eye
0.6666666666666666,fms,Eye
0.6153846153846154,fms,Eye
0.8333333333333334,fms,Eye
0.3333333333333333,fms,Eye
0.7368421052631579,fms,Eye
0.5714285714285715,fms,Eye
0.75,precision,Eye
0.3333333333333333,precision,Eye
0.7777777777777778,precision,Eye
0.8,precision,Eye
0.625,precision,Eye
0.8,precision,Eye
0.8333333333333334,precision,Eye
0.3333333333333333,precision,Eye
0.875,precision,Eye
0.6666666666666666,precision,Eye
0.42857142857142855,recall,Eye
0.4,recall,Eye
0.7777777777777778,recall,Eye
0.8,recall,Eye
0.7142857142857143,recall,Eye
0.5,recall,Eye
0.8333333333333334,recall,Eye
0.3333333333333333,recall,Eye
0.6363636363636364,recall,Eye
0.5,recall,Eye
0.8571428571428571,specificity,Eye
0.6363636363636364,specificity,Eye
0.7142857142857143,specificity,Eye
0.8888888888888888,specificity,Eye
0.6666666666666666,specificity,Eye
0.8,specificity,Eye
0.8571428571428571,specificity,Eye
0.8,specificity,Eye
0.8,specificity,Eye
0.7142857142857143,specificity,Eye
