1,metric,model
0.5882352941176471,acc,Audio
0.47058823529411764,acc,Audio
0.5625,acc,Audio
0.875,acc,Audio
0.875,acc,Audio
0.625,acc,Audio
0.4375,acc,Audio
0.625,acc,Audio
0.8125,acc,Audio
0.875,acc,Audio
0.625,roc,Audio
0.5069444444444444,roc,Audio
0.5952380952380953,roc,Audio
0.8253968253968254,roc,Audio
0.8412698412698414,roc,Audio
0.6507936507936508,roc,Audio
0.5396825396825398,roc,Audio
0.7916666666666667,roc,Audio
0.8250000000000001,roc,Audio
0.859375,roc,Audio
0.6666666666666666,fms,Audio
0.3076923076923077,fms,Audio
0.5333333333333333,fms,Audio
0.9,fms,Audio
0.8333333333333333,fms,Audio
0.5714285714285714,fms,Audio
0.5263157894736842,fms,Audio
0.625,fms,Audio
0.7692307692307692,fms,Audio
0.8571428571428571,fms,Audio
0.7777777777777778,precision,Audio
0.4,precision,Audio
0.6666666666666666,precision,Audio
0.8181818181818182,precision,Audio
1.0,precision,Audio
0.5714285714285714,precision,Audio
0.4166666666666667,precision,Audio
0.5,precision,Audio
0.7142857142857143,precision,Audio
1.0,precision,Audio
0.5833333333333334,recall,Audio
0.25,recall,Audio
0.4444444444444444,recall,Audio
1.0,recall,Audio
0.7142857142857143,recall,Audio
0.5714285714285714,recall,Audio
0.7142857142857143,recall,Audio
0.8333333333333334,recall,Audio
0.8333333333333334,recall,Audio
0.75,recall,Audio
0.6,specificity,Audio
0.6666666666666666,specificity,Audio
0.7142857142857143,specificity,Audio
0.7142857142857143,specificity,Audio
1.0,specificity,Audio
0.6666666666666666,specificity,Audio
0.2222222222222222,specificity,Audio
0.5,specificity,Audio
0.8,specificity,Audio
1.0,specificity,Audio
