1,metric,model
0.7058823529411765,acc,CookieTheft
0.5882352941176471,acc,CookieTheft
0.625,acc,CookieTheft
0.5,acc,CookieTheft
0.5,acc,CookieTheft
0.5,acc,CookieTheft
0.8125,acc,CookieTheft
0.4375,acc,CookieTheft
0.5625,acc,CookieTheft
0.5625,acc,CookieTheft
0.8571428571428572,roc,CookieTheft
0.5499999999999999,roc,CookieTheft
0.6916666666666667,roc,CookieTheft
0.7,roc,CookieTheft
0.6875,roc,CookieTheft
0.6746031746031746,roc,CookieTheft
0.8650793650793651,roc,CookieTheft
0.5714285714285714,roc,CookieTheft
0.6507936507936507,roc,CookieTheft
0.5208333333333334,roc,CookieTheft
0.7058823529411764,fms,CookieTheft
0.4615384615384615,fms,CookieTheft
0.7,fms,CookieTheft
0.5555555555555556,fms,CookieTheft
0.42857142857142855,fms,CookieTheft
0.5,fms,CookieTheft
0.8421052631578948,fms,CookieTheft
0.30769230769230765,fms,CookieTheft
0.5882352941176471,fms,CookieTheft
0.46153846153846156,fms,CookieTheft
0.6,precision,CookieTheft
0.375,precision,CookieTheft
0.7,precision,CookieTheft
0.7142857142857143,precision,CookieTheft
0.5,precision,CookieTheft
0.4444444444444444,precision,CookieTheft
0.8,precision,CookieTheft
0.5,precision,CookieTheft
0.625,precision,CookieTheft
0.3333333333333333,precision,CookieTheft
0.8571428571428571,recall,CookieTheft
0.6,recall,CookieTheft
0.7,recall,CookieTheft
0.45454545454545453,recall,CookieTheft
0.375,recall,CookieTheft
0.5714285714285714,recall,CookieTheft
0.8888888888888888,recall,CookieTheft
0.2222222222222222,recall,CookieTheft
0.5555555555555556,recall,CookieTheft
0.75,recall,CookieTheft
0.6,specificity,CookieTheft
0.5833333333333334,specificity,CookieTheft
0.5,specificity,CookieTheft
0.6,specificity,CookieTheft
0.625,specificity,CookieTheft
0.4444444444444444,specificity,CookieTheft
0.7142857142857143,specificity,CookieTheft
0.7142857142857143,specificity,CookieTheft
0.5714285714285714,specificity,CookieTheft
0.5,specificity,CookieTheft
