1,metric,model
0.8235294117647058,acc,Language
0.7647058823529411,acc,Language
0.875,acc,Language
0.6875,acc,Language
0.5625,acc,Language
0.5625,acc,Language
0.6875,acc,Language
0.5625,acc,Language
0.5625,acc,Language
0.6875,acc,Language
0.8833333333333334,roc,Language
0.8636363636363636,roc,Language
0.8333333333333335,roc,Language
0.8909090909090911,roc,Language
0.6796875,roc,Language
0.6181818181818182,roc,Language
0.8253968253968254,roc,Language
0.5625,roc,Language
0.6111111111111112,roc,Language
0.6507936507936509,roc,Language
0.8571428571428571,fms,Language
0.7499999999999999,fms,Language
0.8333333333333334,fms,Language
0.7058823529411764,fms,Language
0.631578947368421,fms,Language
0.4615384615384615,fms,Language
0.6153846153846153,fms,Language
0.5333333333333333,fms,Language
0.5333333333333333,fms,Language
0.5454545454545454,fms,Language
1.0,precision,Language
0.6,precision,Language
0.8333333333333334,precision,Language
1.0,precision,Language
0.5454545454545454,precision,Language
0.375,precision,Language
0.6666666666666666,precision,Language
0.5714285714285714,precision,Language
0.6666666666666666,precision,Language
0.75,precision,Language
0.75,recall,Language
1.0,recall,Language
0.8333333333333334,recall,Language
0.5454545454545454,recall,Language
0.75,recall,Language
0.6,recall,Language
0.5714285714285714,recall,Language
0.5,recall,Language
0.4444444444444444,recall,Language
0.42857142857142855,recall,Language
1.0,specificity,Language
0.6363636363636364,specificity,Language
0.9,specificity,Language
1.0,specificity,Language
0.375,specificity,Language
0.5454545454545454,specificity,Language
0.7777777777777778,specificity,Language
0.625,specificity,Language
0.7142857142857143,specificity,Language
0.8888888888888888,specificity,Language
