1,metric,model
0.7647058823529411,acc,Reading
0.7058823529411765,acc,Reading
0.625,acc,Reading
0.6875,acc,Reading
0.75,acc,Reading
0.75,acc,Reading
0.625,acc,Reading
0.8125,acc,Reading
0.5625,acc,Reading
0.6875,acc,Reading
0.7348484848484849,roc,Reading
0.7291666666666667,roc,Reading
0.6875,roc,Reading
0.7090909090909091,roc,Reading
0.9285714285714286,roc,Reading
0.8015873015873016,roc,Reading
0.671875,roc,Reading
0.7833333333333334,roc,Reading
0.5545454545454546,roc,Reading
1.0,roc,Reading
0.7142857142857143,fms,Reading
0.7368421052631577,fms,Reading
0.625,fms,Reading
0.761904761904762,fms,Reading
0.75,fms,Reading
0.6666666666666666,fms,Reading
0.6666666666666665,fms,Reading
0.8571428571428572,fms,Reading
0.6956521739130435,fms,Reading
0.4444444444444445,fms,Reading
0.625,precision,Reading
0.7,precision,Reading
0.625,precision,Reading
0.8,precision,Reading
0.6666666666666666,precision,Reading
0.8,precision,Reading
0.6,precision,Reading
0.8181818181818182,precision,Reading
0.6666666666666666,precision,Reading
0.2857142857142857,precision,Reading
0.8333333333333334,recall,Reading
0.7777777777777778,recall,Reading
0.625,recall,Reading
0.7272727272727273,recall,Reading
0.8571428571428571,recall,Reading
0.5714285714285714,recall,Reading
0.75,recall,Reading
0.9,recall,Reading
0.7272727272727273,recall,Reading
1.0,recall,Reading
0.7272727272727273,specificity,Reading
0.625,specificity,Reading
0.625,specificity,Reading
0.6,specificity,Reading
0.6666666666666666,specificity,Reading
0.8888888888888888,specificity,Reading
0.5,specificity,Reading
0.6666666666666666,specificity,Reading
0.2,specificity,Reading
0.6428571428571429,specificity,Reading
