settings,model,acc,roc,f1,precision,recall,specificity
overall,stack,0.7±0.02,0.78±0.03,0.69±0.03,0.71±0.03,0.69±0.04,0.72±0.03
Audio,Audio,0.67±0.02,0.71±0.02,0.63±0.02,0.69±0.03,0.62±0.03,0.73±0.03
CookieTheft,CookieTheft,0.63±0.04,0.71±0.03,0.61±0.04,0.63±0.05,0.65±0.05,0.63±0.07
Basic,ET_Basic,0.64±0.04,0.66±0.02,0.6±0.05,0.61±0.04,0.62±0.08,0.65±0.03
Eye,Eye,0.65±0.04,0.69±0.02,0.6±0.04,0.65±0.04,0.58±0.03,0.71±0.04
Reading,Eye_Reading,0.67±0.04,0.7±0.03,0.62±0.04,0.68±0.06,0.61±0.04,0.74±0.05
Reading,NLP_Reading,0.71±0.02,0.75±0.02,0.68±0.02,0.72±0.03,0.67±0.04,0.75±0.03
Reading,Reading,0.7±0.03,0.75±0.02,0.68±0.02,0.69±0.03,0.7±0.04,0.7±0.06
Language,Language,0.67±0.02,0.73±0.02,0.66±0.02,0.68±0.02,0.68±0.03,0.68±0.03
Memory,Memory,0.67±0.02,0.71±0.02,0.63±0.02,0.69±0.03,0.62±0.03,0.73±0.03
PupilCalib,PupilCalib,0.64±0.04,0.66±0.02,0.6±0.05,0.61±0.04,0.62±0.08,0.65±0.03
