1,metric,model
0.6470588235294118,acc,NLP_Reading
0.7058823529411765,acc,NLP_Reading
0.75,acc,NLP_Reading
0.75,acc,NLP_Reading
0.6875,acc,NLP_Reading
0.8125,acc,NLP_Reading
0.5625,acc,NLP_Reading
0.6875,acc,NLP_Reading
0.5625,acc,NLP_Reading
0.6875,acc,NLP_Reading
0.6212121212121213,roc,NLP_Reading
0.7013888888888888,roc,NLP_Reading
0.8333333333333333,roc,NLP_Reading
0.7583333333333333,roc,NLP_Reading
0.6083333333333334,roc,NLP_Reading
0.625,roc,NLP_Reading
0.6587301587301586,roc,NLP_Reading
0.6875,roc,NLP_Reading
0.6349206349206349,roc,NLP_Reading
0.7936507936507937,roc,NLP_Reading
0.5,fms,NLP_Reading
0.6666666666666667,fms,NLP_Reading
0.7777777777777778,fms,NLP_Reading
0.7777777777777777,fms,NLP_Reading
0.5454545454545454,fms,NLP_Reading
0.5714285714285715,fms,NLP_Reading
0.5882352941176471,fms,NLP_Reading
0.6666666666666666,fms,NLP_Reading
0.5882352941176471,fms,NLP_Reading
0.6666666666666667,fms,NLP_Reading
0.5,precision,NLP_Reading
0.8333333333333334,precision,NLP_Reading
0.7777777777777778,precision,NLP_Reading
0.875,precision,NLP_Reading
0.6,precision,NLP_Reading
0.6666666666666666,precision,NLP_Reading
0.625,precision,NLP_Reading
0.7142857142857143,precision,NLP_Reading
0.625,precision,NLP_Reading
0.8333333333333334,precision,NLP_Reading
0.5,recall,NLP_Reading
0.5555555555555556,recall,NLP_Reading
0.7777777777777778,recall,NLP_Reading
0.7,recall,NLP_Reading
0.5,recall,NLP_Reading
0.5,recall,NLP_Reading
0.5555555555555556,recall,NLP_Reading
0.625,recall,NLP_Reading
0.5555555555555556,recall,NLP_Reading
0.5555555555555556,recall,NLP_Reading
0.7272727272727273,specificity,NLP_Reading
0.875,specificity,NLP_Reading
0.7142857142857143,specificity,NLP_Reading
0.8333333333333334,specificity,NLP_Reading
0.8,specificity,NLP_Reading
0.9166666666666666,specificity,NLP_Reading
0.5714285714285714,specificity,NLP_Reading
0.75,specificity,NLP_Reading
0.5714285714285714,specificity,NLP_Reading
0.8571428571428571,specificity,NLP_Reading
