1,metric,model
0.7647058823529411,acc,Reading
0.7058823529411765,acc,Reading
0.5625,acc,Reading
0.6875,acc,Reading
0.6875,acc,Reading
0.8125,acc,Reading
0.75,acc,Reading
0.8125,acc,Reading
0.5625,acc,Reading
0.5,acc,Reading
0.7571428571428572,roc,Reading
0.7166666666666667,roc,Reading
0.6666666666666667,roc,Reading
0.9047619047619048,roc,Reading
0.8,roc,Reading
0.746031746031746,roc,Reading
0.7909090909090909,roc,Reading
0.8650793650793651,roc,Reading
0.5396825396825398,roc,Reading
0.6333333333333333,roc,Reading
0.6,fms,Reading
0.6153846153846154,fms,Reading
0.631578947368421,fms,Reading
0.6153846153846153,fms,Reading
0.7058823529411764,fms,Reading
0.7692307692307692,fms,Reading
0.6,fms,Reading
0.7999999999999999,fms,Reading
0.36363636363636365,fms,Reading
0.5,fms,Reading
1.0,precision,Reading
0.5,precision,Reading
0.8571428571428571,precision,Reading
1.0,precision,Reading
0.8571428571428571,precision,Reading
0.8333333333333334,precision,Reading
0.6,precision,Reading
0.75,precision,Reading
0.5,precision,Reading
0.6666666666666666,precision,Reading
0.42857142857142855,recall,Reading
0.8,recall,Reading
0.5,recall,Reading
0.4444444444444444,recall,Reading
0.6,recall,Reading
0.7142857142857143,recall,Reading
0.6,recall,Reading
0.8571428571428571,recall,Reading
0.2857142857142857,recall,Reading
0.4,recall,Reading
1.0,specificity,Reading
0.6666666666666666,specificity,Reading
0.75,specificity,Reading
1.0,specificity,Reading
0.8333333333333334,specificity,Reading
0.8888888888888888,specificity,Reading
0.8181818181818182,specificity,Reading
0.7777777777777778,specificity,Reading
0.7777777777777778,specificity,Reading
0.6666666666666666,specificity,Reading
