1,metric,model
0.6666666666666666,acc,PupilCalib
0.6153846153846154,acc,PupilCalib
0.5384615384615384,acc,PupilCalib
0.7272727272727273,acc,PupilCalib
0.7692307692307693,acc,PupilCalib
0.5714285714285714,acc,PupilCalib
0.5384615384615384,acc,PupilCalib
0.5,acc,PupilCalib
0.3333333333333333,acc,PupilCalib
0.7,acc,PupilCalib
0.5,roc,PupilCalib
0.625,roc,PupilCalib
0.4444444444444445,roc,PupilCalib
0.8,roc,PupilCalib
0.7749999999999999,roc,PupilCalib
0.6354166666666666,roc,PupilCalib
0.5714285714285714,roc,PupilCalib
0.7592592592592593,roc,PupilCalib
0.7407407407407407,roc,PupilCalib
0.8125,roc,PupilCalib
0.28571428571428575,fms,PupilCalib
0.6666666666666666,fms,PupilCalib
0.4,fms,PupilCalib
0.7272727272727272,fms,PupilCalib
0.823529411764706,fms,PupilCalib
0.5,fms,PupilCalib
0.5,fms,PupilCalib
0.5,fms,PupilCalib
0.19999999999999998,fms,PupilCalib
0.5714285714285715,fms,PupilCalib
0.2,precision,PupilCalib
0.7142857142857143,precision,PupilCalib
0.3333333333333333,precision,PupilCalib
0.6666666666666666,precision,PupilCalib
0.7777777777777778,precision,PupilCalib
0.5,precision,PupilCalib
0.6,precision,PupilCalib
1.0,precision,PupilCalib
1.0,precision,PupilCalib
0.4,precision,PupilCalib
0.5,recall,PupilCalib
0.625,recall,PupilCalib
0.5,recall,PupilCalib
0.8,recall,PupilCalib
0.875,recall,PupilCalib
0.5,recall,PupilCalib
0.42857142857142855,recall,PupilCalib
0.3333333333333333,recall,PupilCalib
0.1111111111111111,recall,PupilCalib
1.0,recall,PupilCalib
0.6923076923076923,specificity,PupilCalib
0.6,specificity,PupilCalib
0.5555555555555556,specificity,PupilCalib
0.6666666666666666,specificity,PupilCalib
0.6,specificity,PupilCalib
0.625,specificity,PupilCalib
0.6666666666666666,specificity,PupilCalib
1.0,specificity,PupilCalib
1.0,specificity,PupilCalib
0.625,specificity,PupilCalib
