1,metric,model
0.9411764705882353,acc,stack
0.7647058823529411,acc,stack
0.5625,acc,stack
0.75,acc,stack
0.8125,acc,stack
0.625,acc,stack
0.8125,acc,stack
0.5625,acc,stack
0.6875,acc,stack
0.8125,acc,stack
0.9318181818181819,roc,stack
0.6749999999999999,roc,stack
0.4523809523809524,roc,stack
0.8454545454545455,roc,stack
0.8359375,roc,stack
0.5234375,roc,stack
0.8166666666666668,roc,stack
0.4666666666666667,roc,stack
0.5666666666666667,roc,stack
0.3076923076923077,roc,stack
0.923076923076923,fms,stack
0.8333333333333334,fms,stack
0.3636363636363636,fms,stack
0.7777777777777778,fms,stack
0.7999999999999999,fms,stack
0.625,fms,stack
0.7692307692307692,fms,stack
0.631578947368421,fms,stack
0.6153846153846153,fms,stack
0.0,fms,stack
0.8571428571428571,precision,stack
0.8333333333333334,precision,stack
1.0,precision,stack
1.0,precision,stack
0.8571428571428571,precision,stack
0.625,precision,stack
0.7142857142857143,precision,stack
0.6666666666666666,precision,stack
0.5714285714285714,precision,stack
0.0,precision,stack
1.0,recall,stack
0.8333333333333334,recall,stack
0.2222222222222222,recall,stack
0.6363636363636364,recall,stack
0.75,recall,stack
0.625,recall,stack
0.8333333333333334,recall,stack
0.6,recall,stack
0.6666666666666666,recall,stack
0.0,recall,stack
0.9090909090909091,specificity,stack
0.6,specificity,stack
1.0,specificity,stack
1.0,specificity,stack
0.875,specificity,stack
0.625,specificity,stack
0.8,specificity,stack
0.5,specificity,stack
0.7,specificity,stack
1.0,specificity,stack
