1,metric,model
0.7058823529411765,acc,CookieTheft
0.5882352941176471,acc,CookieTheft
0.625,acc,CookieTheft
0.625,acc,CookieTheft
0.375,acc,CookieTheft
0.5625,acc,CookieTheft
0.8125,acc,CookieTheft
0.625,acc,CookieTheft
0.5,acc,CookieTheft
0.6875,acc,CookieTheft
0.7986111111111112,roc,CookieTheft
0.6250000000000001,roc,CookieTheft
0.4791666666666667,roc,CookieTheft
0.7,roc,CookieTheft
0.28205128205128205,roc,CookieTheft
0.6190476190476191,roc,CookieTheft
0.8412698412698412,roc,CookieTheft
0.6587301587301586,roc,CookieTheft
0.5714285714285714,roc,CookieTheft
0.6833333333333333,roc,CookieTheft
0.7058823529411765,fms,CookieTheft
0.6666666666666666,fms,CookieTheft
0.4,fms,CookieTheft
0.5714285714285715,fms,CookieTheft
0.4444444444444444,fms,CookieTheft
0.36363636363636365,fms,CookieTheft
0.823529411764706,fms,CookieTheft
0.5714285714285714,fms,CookieTheft
0.42857142857142855,fms,CookieTheft
0.6153846153846153,fms,CookieTheft
0.6666666666666666,precision,CookieTheft
0.7777777777777778,precision,CookieTheft
0.3333333333333333,precision,CookieTheft
0.5,precision,CookieTheft
0.8,precision,CookieTheft
0.5,precision,CookieTheft
0.875,precision,CookieTheft
0.5714285714285714,precision,CookieTheft
0.42857142857142855,precision,CookieTheft
0.5714285714285714,precision,CookieTheft
0.75,recall,CookieTheft
0.5833333333333334,recall,CookieTheft
0.5,recall,CookieTheft
0.6666666666666666,recall,CookieTheft
0.3076923076923077,recall,CookieTheft
0.2857142857142857,recall,CookieTheft
0.7777777777777778,recall,CookieTheft
0.5714285714285714,recall,CookieTheft
0.42857142857142855,recall,CookieTheft
0.6666666666666666,recall,CookieTheft
0.6666666666666666,specificity,CookieTheft
0.6,specificity,CookieTheft
0.6666666666666666,specificity,CookieTheft
0.6,specificity,CookieTheft
0.6666666666666666,specificity,CookieTheft
0.7777777777777778,specificity,CookieTheft
0.8571428571428571,specificity,CookieTheft
0.6666666666666666,specificity,CookieTheft
0.5555555555555556,specificity,CookieTheft
0.7,specificity,CookieTheft
