1,metric,model
0.7647058823529411,acc,Memory
0.8823529411764706,acc,Memory
0.5625,acc,Memory
0.8125,acc,Memory
0.625,acc,Memory
0.375,acc,Memory
0.625,acc,Memory
0.5625,acc,Memory
0.625,acc,Memory
0.875,acc,Memory
0.7884615384615385,roc,Memory
0.9,roc,Memory
0.5416666666666666,roc,Memory
0.84375,roc,Memory
0.611111111111111,roc,Memory
0.5249999999999999,roc,Memory
0.7698412698412699,roc,Memory
0.5416666666666667,roc,Memory
0.5634920634920635,roc,Memory
0.8809523809523809,roc,Memory
0.6,fms,Memory
0.8750000000000001,fms,Memory
0.4615384615384615,fms,Memory
0.7999999999999999,fms,Memory
0.5714285714285714,fms,Memory
0.28571428571428575,fms,Memory
0.5,fms,Memory
0.6666666666666666,fms,Memory
0.6250000000000001,fms,Memory
0.8571428571428571,fms,Memory
0.5,precision,Memory
0.7777777777777778,precision,Memory
0.42857142857142855,precision,Memory
0.8571428571428571,precision,Memory
0.5714285714285714,precision,Memory
0.5,precision,Memory
1.0,precision,Memory
0.7777777777777778,precision,Memory
0.7142857142857143,precision,Memory
0.8571428571428571,precision,Memory
0.75,recall,Memory
1.0,recall,Memory
0.5,recall,Memory
0.75,recall,Memory
0.5714285714285714,recall,Memory
0.2,recall,Memory
0.3333333333333333,recall,Memory
0.5833333333333334,recall,Memory
0.5555555555555556,recall,Memory
0.8571428571428571,recall,Memory
0.7692307692307693,specificity,Memory
0.8,specificity,Memory
0.6,specificity,Memory
0.875,specificity,Memory
0.6666666666666666,specificity,Memory
0.6666666666666666,specificity,Memory
1.0,specificity,Memory
0.5,specificity,Memory
0.7142857142857143,specificity,Memory
0.8888888888888888,specificity,Memory
