1,metric,model
0.6470588235294118,acc,Language
0.6470588235294118,acc,Language
0.8125,acc,Language
0.875,acc,Language
0.625,acc,Language
0.5625,acc,Language
0.8125,acc,Language
0.6875,acc,Language
0.8125,acc,Language
0.6875,acc,Language
0.7071428571428572,roc,Language
0.6458333333333333,roc,Language
0.8166666666666667,roc,Language
0.9126984126984128,roc,Language
0.626984126984127,roc,Language
0.59375,roc,Language
0.7857142857142858,roc,Language
0.640625,roc,Language
0.8666666666666666,roc,Language
0.6583333333333333,roc,Language
0.6250000000000001,fms,Language
0.6666666666666666,fms,Language
0.8421052631578948,fms,Language
0.8571428571428571,fms,Language
0.5714285714285714,fms,Language
0.5333333333333333,fms,Language
0.7692307692307692,fms,Language
0.6153846153846154,fms,Language
0.8,fms,Language
0.761904761904762,fms,Language
0.5555555555555556,precision,Language
0.6666666666666666,precision,Language
0.8888888888888888,precision,Language
0.8571428571428571,precision,Language
0.5714285714285714,precision,Language
0.5714285714285714,precision,Language
0.8333333333333334,precision,Language
0.8,precision,Language
0.6666666666666666,precision,Language
0.7272727272727273,precision,Language
0.7142857142857143,recall,Language
0.6666666666666666,recall,Language
0.8,recall,Language
0.8571428571428571,recall,Language
0.5714285714285714,recall,Language
0.5,recall,Language
0.7142857142857143,recall,Language
0.5,recall,Language
1.0,recall,Language
0.8,recall,Language
0.6,specificity,Language
0.625,specificity,Language
0.8333333333333334,specificity,Language
0.8888888888888888,specificity,Language
0.6666666666666666,specificity,Language
0.625,specificity,Language
0.8888888888888888,specificity,Language
0.875,specificity,Language
0.7,specificity,Language
0.5,specificity,Language
