1,metric,model
0.5882352941176471,acc,Audio
0.7647058823529411,acc,Audio
0.625,acc,Audio
0.75,acc,Audio
0.625,acc,Audio
0.75,acc,Audio
0.6875,acc,Audio
0.6875,acc,Audio
0.625,acc,Audio
0.625,acc,Audio
0.5416666666666667,roc,Audio
0.8071428571428572,roc,Audio
0.6031746031746031,roc,Audio
0.6875,roc,Audio
0.6166666666666667,roc,Audio
0.71875,roc,Audio
0.703125,roc,Audio
0.6875,roc,Audio
0.59375,roc,Audio
0.640625,roc,Audio
0.5882352941176471,fms,Audio
0.7142857142857143,fms,Audio
0.5,fms,Audio
0.75,fms,Audio
0.6666666666666665,fms,Audio
0.7142857142857143,fms,Audio
0.6666666666666666,fms,Audio
0.5454545454545454,fms,Audio
0.5,fms,Audio
0.5714285714285715,fms,Audio
0.625,precision,Audio
0.7142857142857143,precision,Audio
1.0,precision,Audio
0.75,precision,Audio
0.75,precision,Audio
0.8333333333333334,precision,Audio
0.7142857142857143,precision,Audio
0.42857142857142855,precision,Audio
0.75,precision,Audio
0.6666666666666666,precision,Audio
0.5555555555555556,recall,Audio
0.7142857142857143,recall,Audio
0.3333333333333333,recall,Audio
0.75,recall,Audio
0.6,recall,Audio
0.625,recall,Audio
0.625,recall,Audio
0.75,recall,Audio
0.375,recall,Audio
0.5,recall,Audio
0.625,specificity,Audio
0.8,specificity,Audio
1.0,specificity,Audio
0.75,specificity,Audio
0.6666666666666666,specificity,Audio
0.875,specificity,Audio
0.75,specificity,Audio
0.6666666666666666,specificity,Audio
0.875,specificity,Audio
0.75,specificity,Audio
