1,metric,model
0.625,acc,Eye
0.6875,acc,Eye
0.6923076923076923,acc,Eye
0.7333333333333333,acc,Eye
0.6666666666666666,acc,Eye
0.6428571428571429,acc,Eye
0.6153846153846154,acc,Eye
0.6153846153846154,acc,Eye
0.5625,acc,Eye
0.8,acc,Eye
0.6545454545454545,roc,Eye
0.6796875,roc,Eye
0.9047619047619048,roc,Eye
0.7685185185185186,roc,Eye
0.5800000000000001,roc,Eye
0.673469387755102,roc,Eye
0.9125000000000001,roc,Eye
0.6309523809523809,roc,Eye
0.5384615384615383,roc,Eye
0.7962962962962963,roc,Eye
0.5714285714285714,fms,Eye
0.6666666666666666,fms,Eye
0.7499999999999999,fms,Eye
0.7777777777777778,fms,Eye
0.7368421052631577,fms,Eye
0.6666666666666666,fms,Eye
0.5454545454545454,fms,Eye
0.5454545454545454,fms,Eye
0.2222222222222222,fms,Eye
0.7692307692307692,fms,Eye
0.4444444444444444,precision,Eye
0.7142857142857143,precision,Eye
0.6,precision,Eye
0.7777777777777778,precision,Eye
0.7777777777777778,precision,Eye
0.625,precision,Eye
1.0,precision,Eye
0.75,precision,Eye
0.16666666666666666,precision,Eye
0.7142857142857143,precision,Eye
0.8,recall,Eye
0.625,recall,Eye
1.0,recall,Eye
0.7777777777777778,recall,Eye
0.7,recall,Eye
0.7142857142857143,recall,Eye
0.375,recall,Eye
0.42857142857142855,recall,Eye
0.3333333333333333,recall,Eye
0.8333333333333334,recall,Eye
0.5454545454545454,specificity,Eye
0.75,specificity,Eye
0.42857142857142855,specificity,Eye
0.6666666666666666,specificity,Eye
0.6,specificity,Eye
0.5714285714285714,specificity,Eye
1.0,specificity,Eye
0.8333333333333334,specificity,Eye
0.6153846153846154,specificity,Eye
0.7777777777777778,specificity,Eye
