settings,model,acc,roc,f1,precision,recall,specificity
overall,stack,0.7±0.05,0.72±0.05,0.64±0.06,0.72±0.06,0.6±0.07,0.79±0.06
Audio,Audio,0.68±0.03,0.69±0.04,0.62±0.03,0.72±0.06,0.59±0.05,0.77±0.05
CookieTheft,CookieTheft,0.65±0.04,0.72±0.05,0.6±0.04,0.68±0.09,0.59±0.05,0.72±0.09
Basic,ET_Basic,0.64±0.03,0.66±0.02,0.62±0.05,0.62±0.03,0.67±0.07,0.61±0.05
Eye,Eye,0.62±0.05,0.65±0.05,0.59±0.06,0.6±0.06,0.63±0.08,0.61±0.07
Reading,Eye_Reading,0.65±0.04,0.7±0.02,0.59±0.06,0.66±0.05,0.57±0.08,0.74±0.05
Reading,NLP_Reading,0.72±0.02,0.73±0.02,0.67±0.03,0.74±0.03,0.63±0.05,0.79±0.04
Reading,Reading,0.71±0.02,0.74±0.04,0.65±0.03,0.76±0.04,0.59±0.04,0.81±0.04
Language,Language,0.68±0.03,0.71±0.02,0.64±0.03,0.68±0.03,0.65±0.04,0.7±0.03
Memory,Memory,0.68±0.03,0.69±0.04,0.62±0.03,0.72±0.06,0.59±0.05,0.77±0.05
PupilCalib,PupilCalib,0.64±0.03,0.66±0.02,0.62±0.05,0.62±0.03,0.67±0.07,0.61±0.05
