1,metric,model
0.5882352941176471,acc,Audio
0.8235294117647058,acc,Audio
0.5625,acc,Audio
0.8125,acc,Audio
0.6875,acc,Audio
0.625,acc,Audio
0.8125,acc,Audio
0.5625,acc,Audio
0.75,acc,Audio
0.625,acc,Audio
0.7788461538461539,roc,Audio
0.8194444444444444,roc,Audio
0.59375,roc,Audio
0.85,roc,Audio
0.6499999999999999,roc,Audio
0.7666666666666666,roc,Audio
0.7936507936507937,roc,Audio
0.6770833333333334,roc,Audio
0.75,roc,Audio
0.7166666666666668,roc,Audio
0.46153846153846156,fms,Audio
0.7999999999999999,fms,Audio
0.4615384615384615,fms,Audio
0.8235294117647058,fms,Audio
0.6153846153846153,fms,Audio
0.5714285714285715,fms,Audio
0.7692307692307692,fms,Audio
0.631578947368421,fms,Audio
0.75,fms,Audio
0.625,fms,Audio
0.3333333333333333,precision,Audio
0.8571428571428571,precision,Audio
0.6,precision,Audio
1.0,precision,Audio
0.5714285714285714,precision,Audio
0.5,precision,Audio
0.8333333333333334,precision,Audio
0.8571428571428571,precision,Audio
0.75,precision,Audio
0.8333333333333334,precision,Audio
0.75,recall,Audio
0.75,recall,Audio
0.375,recall,Audio
0.7,recall,Audio
0.6666666666666666,recall,Audio
0.6666666666666666,recall,Audio
0.7142857142857143,recall,Audio
0.5,recall,Audio
0.75,recall,Audio
0.5,recall,Audio
0.5384615384615384,specificity,Audio
0.8888888888888888,specificity,Audio
0.75,specificity,Audio
1.0,specificity,Audio
0.7,specificity,Audio
0.6,specificity,Audio
0.8888888888888888,specificity,Audio
0.75,specificity,Audio
0.75,specificity,Audio
0.8333333333333334,specificity,Audio
