1,metric,model
0.5384615384615384,acc,ET_Basic
0.5,acc,ET_Basic
0.6923076923076923,acc,ET_Basic
0.9230769230769231,acc,ET_Basic
0.5833333333333334,acc,ET_Basic
0.5714285714285714,acc,ET_Basic
0.5384615384615384,acc,ET_Basic
0.8461538461538461,acc,ET_Basic
0.7692307692307693,acc,ET_Basic
0.6666666666666666,acc,ET_Basic
0.6805555555555556,roc,ET_Basic
0.5952380952380952,roc,ET_Basic
0.6375,roc,ET_Basic
1.0,roc,ET_Basic
0.5714285714285714,roc,ET_Basic
0.5,roc,ET_Basic
0.5714285714285714,roc,ET_Basic
0.880952380952381,roc,ET_Basic
0.9047619047619048,roc,ET_Basic
0.6944444444444444,roc,ET_Basic
0.5714285714285714,fms,ET_Basic
0.4444444444444444,fms,ET_Basic
0.6666666666666666,fms,ET_Basic
0.888888888888889,fms,ET_Basic
0.6666666666666666,fms,ET_Basic
0.6666666666666665,fms,ET_Basic
0.625,fms,ET_Basic
0.8333333333333334,fms,ET_Basic
0.7272727272727272,fms,ET_Basic
0.6666666666666666,fms,ET_Basic
0.8,precision,ET_Basic
0.3333333333333333,precision,ET_Basic
0.5714285714285714,precision,ET_Basic
0.8,precision,ET_Basic
0.625,precision,ET_Basic
0.6,precision,ET_Basic
0.5,precision,ET_Basic
0.8333333333333334,precision,ET_Basic
0.8,precision,ET_Basic
0.6666666666666666,precision,ET_Basic
0.4444444444444444,recall,ET_Basic
0.6666666666666666,recall,ET_Basic
0.8,recall,ET_Basic
1.0,recall,ET_Basic
0.7142857142857143,recall,ET_Basic
0.75,recall,ET_Basic
0.8333333333333334,recall,ET_Basic
0.8333333333333334,recall,ET_Basic
0.6666666666666666,recall,ET_Basic
0.6666666666666666,recall,ET_Basic
0.75,specificity,ET_Basic
0.42857142857142855,specificity,ET_Basic
0.625,specificity,ET_Basic
0.8888888888888888,specificity,ET_Basic
0.4,specificity,ET_Basic
0.3333333333333333,specificity,ET_Basic
0.2857142857142857,specificity,ET_Basic
0.8571428571428571,specificity,ET_Basic
0.8571428571428571,specificity,ET_Basic
0.6666666666666666,specificity,ET_Basic
