1,metric,model
0.6470588235294118,acc,stack
0.7058823529411765,acc,stack
0.5,acc,stack
0.8125,acc,stack
0.875,acc,stack
0.75,acc,stack
0.75,acc,stack
0.6875,acc,stack
0.8125,acc,stack
0.75,acc,stack
0.7152777777777777,roc,stack
0.8257575757575758,roc,stack
0.7636363636363637,roc,stack
0.8666666666666667,roc,stack
0.9126984126984128,roc,stack
0.8359375,roc,stack
0.734375,roc,stack
0.8412698412698412,roc,stack
0.8492063492063491,roc,stack
0.7777777777777778,roc,stack
0.7000000000000001,fms,stack
0.6666666666666667,fms,stack
0.5000000000000001,fms,stack
0.8235294117647058,fms,stack
0.8333333333333333,fms,stack
0.75,fms,stack
0.75,fms,stack
0.6666666666666667,fms,stack
0.8,fms,stack
0.75,fms,stack
0.5833333333333334,precision,stack
0.5555555555555556,precision,stack
0.36363636363636365,precision,stack
1.0,precision,stack
1.0,precision,stack
0.75,precision,stack
0.75,precision,stack
0.8333333333333334,precision,stack
1.0,precision,stack
0.8571428571428571,precision,stack
0.875,recall,stack
0.8333333333333334,recall,stack
0.8,recall,stack
0.7,recall,stack
0.7142857142857143,recall,stack
0.75,recall,stack
0.75,recall,stack
0.5555555555555556,recall,stack
0.6666666666666666,recall,stack
0.6666666666666666,recall,stack
0.4444444444444444,specificity,stack
0.6363636363636364,specificity,stack
0.36363636363636365,specificity,stack
1.0,specificity,stack
1.0,specificity,stack
0.75,specificity,stack
0.75,specificity,stack
0.8571428571428571,specificity,stack
1.0,specificity,stack
0.8571428571428571,specificity,stack
