1,metric,model
0.5882352941176471,acc,CookieTheft
0.7058823529411765,acc,CookieTheft
0.625,acc,CookieTheft
0.625,acc,CookieTheft
0.5625,acc,CookieTheft
0.6875,acc,CookieTheft
0.875,acc,CookieTheft
0.6875,acc,CookieTheft
0.5625,acc,CookieTheft
0.8125,acc,CookieTheft
0.6041666666666667,roc,CookieTheft
0.7571428571428571,roc,CookieTheft
0.6916666666666667,roc,CookieTheft
0.6507936507936509,roc,CookieTheft
0.7604166666666666,roc,CookieTheft
0.8974358974358974,roc,CookieTheft
0.890625,roc,CookieTheft
0.7421875,roc,CookieTheft
0.4916666666666667,roc,CookieTheft
0.8090909090909091,roc,CookieTheft
0.5882352941176471,fms,CookieTheft
0.761904761904762,fms,CookieTheft
0.5,fms,CookieTheft
0.6666666666666666,fms,CookieTheft
0.631578947368421,fms,CookieTheft
0.5454545454545454,fms,CookieTheft
0.8571428571428571,fms,CookieTheft
0.7058823529411765,fms,CookieTheft
0.6666666666666666,fms,CookieTheft
0.7692307692307693,fms,CookieTheft
0.5555555555555556,precision,CookieTheft
0.7272727272727273,precision,CookieTheft
0.5,precision,CookieTheft
0.6666666666666666,precision,CookieTheft
0.8571428571428571,precision,CookieTheft
0.375,precision,CookieTheft
1.0,precision,CookieTheft
0.6666666666666666,precision,CookieTheft
0.6363636363636364,precision,CookieTheft
0.625,precision,CookieTheft
0.625,recall,CookieTheft
0.8,recall,CookieTheft
0.5,recall,CookieTheft
0.6666666666666666,recall,CookieTheft
0.5,recall,CookieTheft
1.0,recall,CookieTheft
0.75,recall,CookieTheft
0.75,recall,CookieTheft
0.7,recall,CookieTheft
1.0,recall,CookieTheft
0.5555555555555556,specificity,CookieTheft
0.5714285714285714,specificity,CookieTheft
0.7,specificity,CookieTheft
0.5714285714285714,specificity,CookieTheft
0.75,specificity,CookieTheft
0.6153846153846154,specificity,CookieTheft
1.0,specificity,CookieTheft
0.625,specificity,CookieTheft
0.3333333333333333,specificity,CookieTheft
0.7272727272727273,specificity,CookieTheft
