1,metric,model
0.7647058823529411,acc,Memory
0.5294117647058824,acc,Memory
0.75,acc,Memory
0.75,acc,Memory
0.625,acc,Memory
0.8125,acc,Memory
0.6875,acc,Memory
0.625,acc,Memory
0.75,acc,Memory
0.5625,acc,Memory
0.7499999999999998,roc,Memory
0.553030303030303,roc,Memory
0.8909090909090909,roc,Memory
0.6825396825396826,roc,Memory
0.6349206349206349,roc,Memory
0.796875,roc,Memory
0.6825396825396824,roc,Memory
0.7301587301587302,roc,Memory
0.8,roc,Memory
0.5952380952380952,roc,Memory
0.6,fms,Memory
0.5000000000000001,fms,Memory
0.6666666666666666,fms,Memory
0.7142857142857143,fms,Memory
0.6250000000000001,fms,Memory
0.823529411764706,fms,Memory
0.7058823529411765,fms,Memory
0.5714285714285714,fms,Memory
0.6666666666666666,fms,Memory
0.5333333333333333,fms,Memory
0.75,precision,Memory
0.8,precision,Memory
0.5714285714285714,precision,Memory
1.0,precision,Memory
0.7142857142857143,precision,Memory
0.7777777777777778,precision,Memory
0.75,precision,Memory
0.8,precision,Memory
0.6666666666666666,precision,Memory
0.5,precision,Memory
0.5,recall,Memory
0.36363636363636365,recall,Memory
0.8,recall,Memory
0.5555555555555556,recall,Memory
0.5555555555555556,recall,Memory
0.875,recall,Memory
0.6666666666666666,recall,Memory
0.4444444444444444,recall,Memory
0.6666666666666666,recall,Memory
0.5714285714285714,recall,Memory
0.9090909090909091,specificity,Memory
0.8333333333333334,specificity,Memory
0.7272727272727273,specificity,Memory
1.0,specificity,Memory
0.7142857142857143,specificity,Memory
0.75,specificity,Memory
0.7142857142857143,specificity,Memory
0.8571428571428571,specificity,Memory
0.8,specificity,Memory
0.5555555555555556,specificity,Memory
