1,metric,model
0.5,acc,Eye
0.5625,acc,Eye
0.6428571428571429,acc,Eye
0.6666666666666666,acc,Eye
0.6,acc,Eye
0.7142857142857143,acc,Eye
0.75,acc,Eye
0.6875,acc,Eye
0.5714285714285714,acc,Eye
0.6,acc,Eye
0.5416666666666666,roc,Eye
0.5859375,roc,Eye
0.6458333333333334,roc,Eye
0.575,roc,Eye
0.8611111111111113,roc,Eye
0.875,roc,Eye
0.8333333333333334,roc,Eye
0.8125,roc,Eye
0.5306122448979591,roc,Eye
0.5535714285714286,roc,Eye
0.4615384615384615,fms,Eye
0.5882352941176471,fms,Eye
0.7368421052631579,fms,Eye
0.3333333333333333,fms,Eye
0.6666666666666666,fms,Eye
0.6,fms,Eye
0.7142857142857143,fms,Eye
0.6153846153846154,fms,Eye
0.5714285714285714,fms,Eye
0.5714285714285714,fms,Eye
0.42857142857142855,precision,Eye
0.5555555555555556,precision,Eye
0.6363636363636364,precision,Eye
0.25,precision,Eye
1.0,precision,Eye
0.5,precision,Eye
0.7142857142857143,precision,Eye
0.8,precision,Eye
0.5714285714285714,precision,Eye
0.5714285714285714,precision,Eye
0.5,recall,Eye
0.625,recall,Eye
0.875,recall,Eye
0.5,recall,Eye
0.5,recall,Eye
0.75,recall,Eye
0.7142857142857143,recall,Eye
0.5,recall,Eye
0.5714285714285714,recall,Eye
0.5714285714285714,recall,Eye
0.5,specificity,Eye
0.5,specificity,Eye
0.3333333333333333,specificity,Eye
0.7,specificity,Eye
1.0,specificity,Eye
0.7,specificity,Eye
0.7777777777777778,specificity,Eye
0.875,specificity,Eye
0.5714285714285714,specificity,Eye
0.625,specificity,Eye
