1,metric,model
0.7058823529411765,acc,Language
0.7647058823529411,acc,Language
0.8125,acc,Language
0.6875,acc,Language
0.5625,acc,Language
0.6875,acc,Language
0.6875,acc,Language
0.5,acc,Language
0.6875,acc,Language
0.625,acc,Language
0.7045454545454545,roc,Language
0.8833333333333334,roc,Language
0.9365079365079365,roc,Language
0.6904761904761905,roc,Language
0.5873015873015873,roc,Language
0.7727272727272728,roc,Language
0.7380952380952381,roc,Language
0.5634920634920635,roc,Language
0.75,roc,Language
0.5,roc,Language
0.6153846153846153,fms,Language
0.8181818181818182,fms,Language
0.8,fms,Language
0.7058823529411765,fms,Language
0.4615384615384615,fms,Language
0.7368421052631579,fms,Language
0.6666666666666666,fms,Language
0.6,fms,Language
0.6153846153846153,fms,Language
0.4000000000000001,fms,Language
0.5714285714285714,precision,Language
0.9,precision,Language
1.0,precision,Language
0.75,precision,Language
0.5,precision,Language
0.875,precision,Language
0.625,precision,Language
0.5454545454545454,precision,Language
0.4444444444444444,precision,Language
0.4,precision,Language
0.6666666666666666,recall,Language
0.75,recall,Language
0.6666666666666666,recall,Language
0.6666666666666666,recall,Language
0.42857142857142855,recall,Language
0.6363636363636364,recall,Language
0.7142857142857143,recall,Language
0.6666666666666666,recall,Language
1.0,recall,Language
0.4,recall,Language
0.7272727272727273,specificity,Language
0.8,specificity,Language
1.0,specificity,Language
0.7142857142857143,specificity,Language
0.6666666666666666,specificity,Language
0.8,specificity,Language
0.6666666666666666,specificity,Language
0.2857142857142857,specificity,Language
0.5833333333333334,specificity,Language
0.7272727272727273,specificity,Language
