1,metric,model
0.6428571428571429,acc,PupilCalib
0.8333333333333334,acc,PupilCalib
0.6875,acc,PupilCalib
0.6153846153846154,acc,PupilCalib
0.5,acc,PupilCalib
0.5,acc,PupilCalib
0.6,acc,PupilCalib
0.7,acc,PupilCalib
0.7142857142857143,acc,PupilCalib
0.7692307692307693,acc,PupilCalib
0.5520833333333334,roc,PupilCalib
0.9375,roc,PupilCalib
0.7083333333333334,roc,PupilCalib
0.6547619047619048,roc,PupilCalib
0.35000000000000003,roc,PupilCalib
0.4142857142857143,roc,PupilCalib
0.6944444444444444,roc,PupilCalib
0.625,roc,PupilCalib
0.6666666666666667,roc,PupilCalib
0.8095238095238095,roc,PupilCalib
0.6153846153846154,fms,PupilCalib
0.8571428571428571,fms,PupilCalib
0.6666666666666667,fms,PupilCalib
0.5454545454545454,fms,PupilCalib
0.36363636363636365,fms,PupilCalib
0.4000000000000001,fms,PupilCalib
0.6250000000000001,fms,PupilCalib
0.4,fms,PupilCalib
0.75,fms,PupilCalib
0.7692307692307692,fms,PupilCalib
0.8,precision,PupilCalib
1.0,precision,PupilCalib
0.5555555555555556,precision,PupilCalib
0.6,precision,PupilCalib
0.2857142857142857,precision,PupilCalib
0.4,precision,PupilCalib
0.7142857142857143,precision,PupilCalib
1.0,precision,PupilCalib
0.75,precision,PupilCalib
0.7142857142857143,precision,PupilCalib
0.5,recall,PupilCalib
0.75,recall,PupilCalib
0.8333333333333334,recall,PupilCalib
0.5,recall,PupilCalib
0.5,recall,PupilCalib
0.4,recall,PupilCalib
0.5555555555555556,recall,PupilCalib
0.25,recall,PupilCalib
0.75,recall,PupilCalib
0.8333333333333334,recall,PupilCalib
0.8333333333333334,specificity,PupilCalib
1.0,specificity,PupilCalib
0.6,specificity,PupilCalib
0.7142857142857143,specificity,PupilCalib
0.5,specificity,PupilCalib
0.5714285714285714,specificity,PupilCalib
0.6666666666666666,specificity,PupilCalib
1.0,specificity,PupilCalib
0.6666666666666666,specificity,PupilCalib
0.7142857142857143,specificity,PupilCalib
