1,metric,model
0.7647058823529411,acc,Reading
0.7647058823529411,acc,Reading
0.75,acc,Reading
0.5,acc,Reading
0.6875,acc,Reading
0.625,acc,Reading
0.8125,acc,Reading
0.8125,acc,Reading
0.6875,acc,Reading
0.75,acc,Reading
0.8214285714285715,roc,Reading
0.8333333333333335,roc,Reading
0.8166666666666667,roc,Reading
0.4609375,roc,Reading
0.7380952380952381,roc,Reading
0.6428571428571428,roc,Reading
0.8958333333333334,roc,Reading
0.8333333333333334,roc,Reading
0.7454545454545454,roc,Reading
0.8,roc,Reading
0.7777777777777777,fms,Reading
0.7777777777777777,fms,Reading
0.7499999999999999,fms,Reading
0.6,fms,Reading
0.7368421052631577,fms,Reading
0.6666666666666666,fms,Reading
0.7272727272727273,fms,Reading
0.6666666666666665,fms,Reading
0.7826086956521738,fms,Reading
0.7499999999999999,fms,Reading
0.875,precision,Reading
0.7,precision,Reading
0.6,precision,Reading
0.5,precision,Reading
0.7,precision,Reading
0.6666666666666666,precision,Reading
0.5714285714285714,precision,Reading
0.6,precision,Reading
0.75,precision,Reading
1.0,precision,Reading
0.7,recall,Reading
0.875,recall,Reading
1.0,recall,Reading
0.75,recall,Reading
0.7777777777777778,recall,Reading
0.6666666666666666,recall,Reading
1.0,recall,Reading
0.75,recall,Reading
0.8181818181818182,recall,Reading
0.6,recall,Reading
0.8571428571428571,specificity,Reading
0.6666666666666666,specificity,Reading
0.6,specificity,Reading
0.25,specificity,Reading
0.5714285714285714,specificity,Reading
0.5714285714285714,specificity,Reading
0.75,specificity,Reading
0.8333333333333334,specificity,Reading
0.4,specificity,Reading
1.0,specificity,Reading
