1,metric,model
0.6428571428571429,acc,Eye
0.6,acc,Eye
0.7142857142857143,acc,Eye
0.5333333333333333,acc,Eye
0.7333333333333333,acc,Eye
0.8461538461538461,acc,Eye
0.7333333333333333,acc,Eye
0.6875,acc,Eye
0.7142857142857143,acc,Eye
0.8,acc,Eye
0.5104166666666666,roc,Eye
0.5462962962962963,roc,Eye
0.7083333333333334,roc,Eye
0.4196428571428571,roc,Eye
0.79,roc,Eye
0.9404761904761905,roc,Eye
0.6785714285714285,roc,Eye
0.671875,roc,Eye
0.7125,roc,Eye
0.8425925925925926,roc,Eye
0.4444444444444444,fms,Eye
0.6666666666666666,fms,Eye
0.6666666666666666,fms,Eye
0.4615384615384615,fms,Eye
0.8000000000000002,fms,Eye
0.8333333333333334,fms,Eye
0.6666666666666666,fms,Eye
0.6666666666666666,fms,Eye
0.6666666666666666,fms,Eye
0.7272727272727272,fms,Eye
0.6666666666666666,precision,Eye
0.6666666666666666,precision,Eye
0.6666666666666666,precision,Eye
0.5,precision,Eye
0.8,precision,Eye
0.8333333333333334,precision,Eye
0.8,precision,Eye
0.7142857142857143,precision,Eye
0.5,precision,Eye
0.8,precision,Eye
0.3333333333333333,recall,Eye
0.6666666666666666,recall,Eye
0.6666666666666666,recall,Eye
0.42857142857142855,recall,Eye
0.8,recall,Eye
0.8333333333333334,recall,Eye
0.5714285714285714,recall,Eye
0.625,recall,Eye
1.0,recall,Eye
0.6666666666666666,recall,Eye
0.875,specificity,Eye
0.5,specificity,Eye
0.75,specificity,Eye
0.625,specificity,Eye
0.6,specificity,Eye
0.8571428571428571,specificity,Eye
0.875,specificity,Eye
0.75,specificity,Eye
0.6,specificity,Eye
0.8888888888888888,specificity,Eye
