1,metric,model
0.7647058823529411,acc,Memory
0.6470588235294118,acc,Memory
0.75,acc,Memory
0.625,acc,Memory
0.5625,acc,Memory
0.6875,acc,Memory
0.375,acc,Memory
0.625,acc,Memory
0.5,acc,Memory
0.75,acc,Memory
0.8500000000000001,roc,Memory
0.7272727272727273,roc,Memory
0.75,roc,Memory
0.6587301587301586,roc,Memory
0.6666666666666667,roc,Memory
0.7380952380952381,roc,Memory
0.4140625,roc,Memory
0.7583333333333334,roc,Memory
0.4833333333333333,roc,Memory
0.5499999999999999,roc,Memory
0.8,fms,Memory
0.625,fms,Memory
0.7142857142857143,fms,Memory
0.6250000000000001,fms,Memory
0.4615384615384615,fms,Memory
0.6666666666666666,fms,Memory
0.28571428571428575,fms,Memory
0.6666666666666665,fms,Memory
0.3333333333333333,fms,Memory
0.6,fms,Memory
1.0,precision,Memory
0.5,precision,Memory
0.8333333333333334,precision,Memory
0.7142857142857143,precision,Memory
0.5,precision,Memory
0.625,precision,Memory
0.3333333333333333,precision,Memory
0.75,precision,Memory
0.3333333333333333,precision,Memory
0.75,precision,Memory
0.6666666666666666,recall,Memory
0.8333333333333334,recall,Memory
0.625,recall,Memory
0.5555555555555556,recall,Memory
0.42857142857142855,recall,Memory
0.7142857142857143,recall,Memory
0.25,recall,Memory
0.6,recall,Memory
0.3333333333333333,recall,Memory
0.5,recall,Memory
1.0,specificity,Memory
0.5454545454545454,specificity,Memory
0.875,specificity,Memory
0.7142857142857143,specificity,Memory
0.6666666666666666,specificity,Memory
0.6666666666666666,specificity,Memory
0.5,specificity,Memory
0.6666666666666666,specificity,Memory
0.6,specificity,Memory
0.9,specificity,Memory
