1,metric,model
0.6428571428571429,acc,PupilCalib
0.7333333333333333,acc,PupilCalib
0.7272727272727273,acc,PupilCalib
0.35714285714285715,acc,PupilCalib
0.6153846153846154,acc,PupilCalib
0.7857142857142857,acc,PupilCalib
0.6666666666666666,acc,PupilCalib
0.5,acc,PupilCalib
0.46153846153846156,acc,PupilCalib
0.6666666666666666,acc,PupilCalib
0.7124999999999999,roc,PupilCalib
0.89,roc,PupilCalib
0.6428571428571428,roc,PupilCalib
0.4666666666666667,roc,PupilCalib
0.6309523809523809,roc,PupilCalib
0.8229166666666667,roc,PupilCalib
0.7083333333333334,roc,PupilCalib
0.5,roc,PupilCalib
0.5125,roc,PupilCalib
0.5,roc,PupilCalib
0.7058823529411764,fms,PupilCalib
0.5,fms,PupilCalib
0.7999999999999999,fms,PupilCalib
0.3076923076923077,fms,PupilCalib
0.6666666666666666,fms,PupilCalib
0.7999999999999999,fms,PupilCalib
0.6,fms,PupilCalib
0.22222222222222224,fms,PupilCalib
0.4615384615384615,fms,PupilCalib
0.7499999999999999,fms,PupilCalib
0.8571428571428571,precision,PupilCalib
0.6666666666666666,precision,PupilCalib
0.75,precision,PupilCalib
0.25,precision,PupilCalib
0.625,precision,PupilCalib
0.8571428571428571,precision,PupilCalib
0.75,precision,PupilCalib
0.2,precision,PupilCalib
0.375,precision,PupilCalib
0.6,precision,PupilCalib
0.6,recall,PupilCalib
0.4,recall,PupilCalib
0.8571428571428571,recall,PupilCalib
0.4,recall,PupilCalib
0.7142857142857143,recall,PupilCalib
0.75,recall,PupilCalib
0.5,recall,PupilCalib
0.25,recall,PupilCalib
0.6,recall,PupilCalib
1.0,recall,PupilCalib
0.75,specificity,PupilCalib
0.9,specificity,PupilCalib
0.5,specificity,PupilCalib
0.3333333333333333,specificity,PupilCalib
0.5,specificity,PupilCalib
0.8333333333333334,specificity,PupilCalib
0.8333333333333334,specificity,PupilCalib
0.6,specificity,PupilCalib
0.375,specificity,PupilCalib
0.3333333333333333,specificity,PupilCalib
