1,metric,model
0.47058823529411764,acc,Reading
0.7647058823529411,acc,Reading
0.75,acc,Reading
0.75,acc,Reading
0.75,acc,Reading
0.8125,acc,Reading
0.875,acc,Reading
0.75,acc,Reading
0.875,acc,Reading
0.6875,acc,Reading
0.5069444444444444,roc,Reading
0.8333333333333333,roc,Reading
0.7750000000000001,roc,Reading
0.6166666666666666,roc,Reading
0.7333333333333334,roc,Reading
0.8363636363636363,roc,Reading
0.875,roc,Reading
0.765625,roc,Reading
0.96875,roc,Reading
0.753968253968254,roc,Reading
0.18181818181818182,fms,Reading
0.75,fms,Reading
0.7777777777777777,fms,Reading
0.5,fms,Reading
0.6,fms,Reading
0.6666666666666665,fms,Reading
0.9090909090909091,fms,Reading
0.75,fms,Reading
0.888888888888889,fms,Reading
0.6153846153846153,fms,Reading
0.3333333333333333,precision,Reading
0.8571428571428571,precision,Reading
0.875,precision,Reading
1.0,precision,Reading
0.75,precision,Reading
0.75,precision,Reading
1.0,precision,Reading
0.75,precision,Reading
0.8,precision,Reading
0.6666666666666666,precision,Reading
0.125,recall,Reading
0.6666666666666666,recall,Reading
0.7,recall,Reading
0.3333333333333333,recall,Reading
0.5,recall,Reading
0.6,recall,Reading
0.8333333333333334,recall,Reading
0.75,recall,Reading
1.0,recall,Reading
0.5714285714285714,recall,Reading
0.7777777777777778,specificity,Reading
0.875,specificity,Reading
0.8333333333333334,specificity,Reading
1.0,specificity,Reading
0.9,specificity,Reading
0.9090909090909091,specificity,Reading
1.0,specificity,Reading
0.75,specificity,Reading
0.75,specificity,Reading
0.7777777777777778,specificity,Reading
