1,metric,model
0.7647058823529411,acc,CookieTheft
0.5882352941176471,acc,CookieTheft
0.5,acc,CookieTheft
0.6875,acc,CookieTheft
0.5625,acc,CookieTheft
0.625,acc,CookieTheft
0.625,acc,CookieTheft
0.6875,acc,CookieTheft
0.75,acc,CookieTheft
0.6875,acc,CookieTheft
0.8500000000000001,roc,CookieTheft
0.625,roc,CookieTheft
0.4765625,roc,CookieTheft
0.6833333333333333,roc,CookieTheft
0.7,roc,CookieTheft
0.5703125,roc,CookieTheft
0.75,roc,CookieTheft
0.95,roc,CookieTheft
0.7333333333333332,roc,CookieTheft
0.7222222222222222,roc,CookieTheft
0.6,fms,CookieTheft
0.46153846153846156,fms,CookieTheft
0.3333333333333333,fms,CookieTheft
0.6153846153846153,fms,CookieTheft
0.4615384615384615,fms,CookieTheft
0.4,fms,CookieTheft
0.5714285714285715,fms,CookieTheft
0.7058823529411764,fms,CookieTheft
0.6,fms,CookieTheft
0.6666666666666667,fms,CookieTheft
1.0,precision,CookieTheft
0.75,precision,CookieTheft
0.5,precision,CookieTheft
0.5714285714285714,precision,CookieTheft
1.0,precision,CookieTheft
1.0,precision,CookieTheft
1.0,precision,CookieTheft
0.5454545454545454,precision,CookieTheft
0.75,precision,CookieTheft
0.8333333333333334,precision,CookieTheft
0.42857142857142855,recall,CookieTheft
0.3333333333333333,recall,CookieTheft
0.25,recall,CookieTheft
0.6666666666666666,recall,CookieTheft
0.3,recall,CookieTheft
0.25,recall,CookieTheft
0.4,recall,CookieTheft
1.0,recall,CookieTheft
0.5,recall,CookieTheft
0.5555555555555556,recall,CookieTheft
1.0,specificity,CookieTheft
0.875,specificity,CookieTheft
0.75,specificity,CookieTheft
0.7,specificity,CookieTheft
1.0,specificity,CookieTheft
1.0,specificity,CookieTheft
1.0,specificity,CookieTheft
0.5,specificity,CookieTheft
0.9,specificity,CookieTheft
0.8571428571428571,specificity,CookieTheft
