1,metric,model
0.5882352941176471,acc,stack
0.7058823529411765,acc,stack
0.625,acc,stack
0.625,acc,stack
0.5625,acc,stack
0.5,acc,stack
0.5625,acc,stack
0.6875,acc,stack
0.5625,acc,stack
0.5,acc,stack
0.7777777777777778,roc,stack
0.8472222222222222,roc,stack
0.6349206349206349,roc,stack
0.75,roc,stack
0.7142857142857143,roc,stack
0.5634920634920635,roc,stack
0.6984126984126984,roc,stack
0.5317460317460317,roc,stack
0.39166666666666666,roc,stack
0.484375,roc,stack
0.5882352941176471,fms,stack
0.5454545454545454,fms,stack
0.6250000000000001,fms,stack
0.7272727272727272,fms,stack
0.5333333333333333,fms,stack
0.42857142857142855,fms,stack
0.588235294117647,fms,stack
0.5454545454545454,fms,stack
0.2222222222222222,fms,stack
0.42857142857142855,fms,stack
0.5555555555555556,precision,stack
1.0,precision,stack
0.5555555555555556,precision,stack
0.8,precision,stack
0.6666666666666666,precision,stack
0.42857142857142855,precision,stack
0.5,precision,stack
0.75,precision,stack
0.3333333333333333,precision,stack
0.5,precision,stack
0.625,recall,stack
0.375,recall,stack
0.7142857142857143,recall,stack
0.6666666666666666,recall,stack
0.4444444444444444,recall,stack
0.42857142857142855,recall,stack
0.7142857142857143,recall,stack
0.42857142857142855,recall,stack
0.16666666666666666,recall,stack
0.375,recall,stack
0.5555555555555556,specificity,stack
1.0,specificity,stack
0.5555555555555556,specificity,stack
0.5,specificity,stack
0.7142857142857143,specificity,stack
0.5555555555555556,specificity,stack
0.4444444444444444,specificity,stack
0.8888888888888888,specificity,stack
0.8,specificity,stack
0.625,specificity,stack
