1,metric,model
0.8235294117647058,acc,Language
0.7647058823529411,acc,Language
0.5,acc,Language
0.4375,acc,Language
0.875,acc,Language
0.6875,acc,Language
0.625,acc,Language
0.5625,acc,Language
0.5625,acc,Language
0.5625,acc,Language
0.9375,roc,Language
0.7361111111111112,roc,Language
0.5396825396825397,roc,Language
0.5546875,roc,Language
0.9285714285714286,roc,Language
0.8571428571428572,roc,Language
0.7666666666666666,roc,Language
0.6145833333333333,roc,Language
0.5384615384615383,roc,Language
0.6796875,roc,Language
0.8571428571428571,fms,Language
0.75,fms,Language
0.5,fms,Language
0.47058823529411764,fms,Language
0.8571428571428571,fms,Language
0.5454545454545454,fms,Language
0.625,fms,Language
0.6666666666666666,fms,Language
0.2222222222222222,fms,Language
0.4615384615384615,fms,Language
0.75,precision,Language
0.75,precision,Language
0.4444444444444444,precision,Language
0.4444444444444444,precision,Language
0.8571428571428571,precision,Language
0.75,precision,Language
0.8333333333333334,precision,Language
0.7777777777777778,precision,Language
0.16666666666666666,precision,Language
0.6,precision,Language
1.0,recall,Language
0.75,recall,Language
0.5714285714285714,recall,Language
0.5,recall,Language
0.8571428571428571,recall,Language
0.42857142857142855,recall,Language
0.5,recall,Language
0.5833333333333334,recall,Language
0.3333333333333333,recall,Language
0.375,recall,Language
0.625,specificity,Language
0.7777777777777778,specificity,Language
0.4444444444444444,specificity,Language
0.375,specificity,Language
0.8888888888888888,specificity,Language
0.8888888888888888,specificity,Language
0.8333333333333334,specificity,Language
0.5,specificity,Language
0.6153846153846154,specificity,Language
0.75,specificity,Language
