1,metric,model
0.7058823529411765,acc,NLP_Reading
0.7647058823529411,acc,NLP_Reading
0.6875,acc,NLP_Reading
0.75,acc,NLP_Reading
0.625,acc,NLP_Reading
0.6875,acc,NLP_Reading
0.8125,acc,NLP_Reading
0.6875,acc,NLP_Reading
0.6875,acc,NLP_Reading
0.75,acc,NLP_Reading
0.7361111111111112,roc,NLP_Reading
0.8888888888888888,roc,NLP_Reading
0.6454545454545454,roc,NLP_Reading
0.7777777777777778,roc,NLP_Reading
0.6083333333333333,roc,NLP_Reading
0.738095238095238,roc,NLP_Reading
0.8253968253968256,roc,NLP_Reading
0.7416666666666666,roc,NLP_Reading
0.7416666666666667,roc,NLP_Reading
0.8809523809523809,roc,NLP_Reading
0.7058823529411765,fms,NLP_Reading
0.75,fms,NLP_Reading
0.28571428571428575,fms,NLP_Reading
0.75,fms,NLP_Reading
0.625,fms,NLP_Reading
0.4444444444444445,fms,NLP_Reading
0.7999999999999999,fms,NLP_Reading
0.5454545454545454,fms,NLP_Reading
0.7058823529411764,fms,NLP_Reading
0.7142857142857143,fms,NLP_Reading
0.75,precision,NLP_Reading
0.8571428571428571,precision,NLP_Reading
0.5,precision,NLP_Reading
0.8571428571428571,precision,NLP_Reading
0.8333333333333334,precision,NLP_Reading
1.0,precision,NLP_Reading
0.75,precision,NLP_Reading
0.6,precision,NLP_Reading
0.8571428571428571,precision,NLP_Reading
0.7142857142857143,precision,NLP_Reading
0.6666666666666666,recall,NLP_Reading
0.6666666666666666,recall,NLP_Reading
0.2,recall,NLP_Reading
0.6666666666666666,recall,NLP_Reading
0.5,recall,NLP_Reading
0.2857142857142857,recall,NLP_Reading
0.8571428571428571,recall,NLP_Reading
0.5,recall,NLP_Reading
0.6,recall,NLP_Reading
0.7142857142857143,recall,NLP_Reading
0.75,specificity,NLP_Reading
0.875,specificity,NLP_Reading
0.9090909090909091,specificity,NLP_Reading
0.8571428571428571,specificity,NLP_Reading
0.8333333333333334,specificity,NLP_Reading
1.0,specificity,NLP_Reading
0.7777777777777778,specificity,NLP_Reading
0.8,specificity,NLP_Reading
0.8333333333333334,specificity,NLP_Reading
0.7777777777777778,specificity,NLP_Reading
