1,metric,model
0.7058823529411765,acc,Audio
0.7647058823529411,acc,Audio
0.6875,acc,Audio
0.9375,acc,Audio
0.6875,acc,Audio
0.625,acc,Audio
0.6875,acc,Audio
0.6875,acc,Audio
0.4375,acc,Audio
0.6875,acc,Audio
0.7916666666666666,roc,Audio
0.8541666666666667,roc,Audio
0.703125,roc,Audio
0.9000000000000001,roc,Audio
0.7222222222222223,roc,Audio
0.71875,roc,Audio
0.734375,roc,Audio
0.8571428571428572,roc,Audio
0.6507936507936508,roc,Audio
0.8125,roc,Audio
0.6666666666666667,fms,Audio
0.75,fms,Audio
0.7058823529411765,fms,Audio
0.9090909090909091,fms,Audio
0.6666666666666666,fms,Audio
0.5,fms,Audio
0.5454545454545454,fms,Audio
0.6153846153846153,fms,Audio
0.30769230769230765,fms,Audio
0.7058823529411765,fms,Audio
0.8333333333333334,precision,Audio
0.8571428571428571,precision,Audio
0.6666666666666666,precision,Audio
1.0,precision,Audio
0.625,precision,Audio
0.75,precision,Audio
1.0,precision,Audio
0.6666666666666666,precision,Audio
0.5,precision,Audio
0.6666666666666666,precision,Audio
0.5555555555555556,recall,Audio
0.6666666666666666,recall,Audio
0.75,recall,Audio
0.8333333333333334,recall,Audio
0.7142857142857143,recall,Audio
0.375,recall,Audio
0.375,recall,Audio
0.5714285714285714,recall,Audio
0.2222222222222222,recall,Audio
0.75,recall,Audio
0.875,specificity,Audio
0.875,specificity,Audio
0.625,specificity,Audio
1.0,specificity,Audio
0.6666666666666666,specificity,Audio
0.875,specificity,Audio
1.0,specificity,Audio
0.7777777777777778,specificity,Audio
0.7142857142857143,specificity,Audio
0.625,specificity,Audio
