1,metric,model
0.7272727272727273,acc,ET_Basic
0.5333333333333333,acc,ET_Basic
0.9090909090909091,acc,ET_Basic
0.5384615384615384,acc,ET_Basic
0.5833333333333334,acc,ET_Basic
0.6153846153846154,acc,ET_Basic
0.75,acc,ET_Basic
0.6875,acc,ET_Basic
0.7777777777777778,acc,ET_Basic
0.5714285714285714,acc,ET_Basic
0.7321428571428571,roc,ET_Basic
0.30000000000000004,roc,ET_Basic
0.8333333333333334,roc,ET_Basic
0.4166666666666667,roc,ET_Basic
0.5285714285714285,roc,ET_Basic
0.675,roc,ET_Basic
0.6805555555555556,roc,ET_Basic
0.625,roc,ET_Basic
0.65,roc,ET_Basic
0.5520833333333333,roc,ET_Basic
0.6666666666666665,fms,ET_Basic
0.22222222222222224,fms,ET_Basic
0.9090909090909091,fms,ET_Basic
0.4,fms,ET_Basic
0.6153846153846153,fms,ET_Basic
0.6666666666666666,fms,ET_Basic
0.7272727272727272,fms,ET_Basic
0.7058823529411764,fms,ET_Basic
0.75,fms,ET_Basic
0.5,fms,ET_Basic
0.6,precision,ET_Basic
0.25,precision,ET_Basic
1.0,precision,ET_Basic
0.6666666666666666,precision,ET_Basic
0.6666666666666666,precision,ET_Basic
0.5,precision,ET_Basic
0.8,precision,ET_Basic
0.8571428571428571,precision,ET_Basic
0.75,precision,ET_Basic
0.5,precision,ET_Basic
0.75,recall,ET_Basic
0.2,recall,ET_Basic
0.8333333333333334,recall,ET_Basic
0.2857142857142857,recall,ET_Basic
0.5714285714285714,recall,ET_Basic
1.0,recall,ET_Basic
0.6666666666666666,recall,ET_Basic
0.6,recall,ET_Basic
0.75,recall,ET_Basic
0.5,recall,ET_Basic
0.7142857142857143,specificity,ET_Basic
0.7,specificity,ET_Basic
1.0,specificity,ET_Basic
0.8333333333333334,specificity,ET_Basic
0.6,specificity,ET_Basic
0.375,specificity,ET_Basic
0.8333333333333334,specificity,ET_Basic
0.8333333333333334,specificity,ET_Basic
0.8,specificity,ET_Basic
0.625,specificity,ET_Basic
