settings,model,acc,roc,f1,precision,recall,specificity
overall,stack,0.68±0.06,0.74±0.05,0.63±0.08,0.7±0.08,0.61±0.08,0.74±0.06
Audio,Audio,0.67±0.02,0.7±0.03,0.6±0.03,0.7±0.04,0.55±0.03,0.78±0.03
CookieTheft,CookieTheft,0.66±0.05,0.73±0.03,0.6±0.05,0.73±0.09,0.57±0.1,0.77±0.12
Basic,ET_Basic,0.64±0.04,0.64±0.04,0.6±0.05,0.6±0.05,0.65±0.06,0.64±0.06
Eye,Eye,0.66±0.04,0.67±0.04,0.61±0.05,0.65±0.03,0.62±0.08,0.7±0.06
Reading,Eye_Reading,0.67±0.05,0.7±0.02,0.6±0.06,0.69±0.06,0.57±0.07,0.77±0.04
Reading,NLP_Reading,0.71±0.03,0.74±0.03,0.66±0.03,0.76±0.04,0.62±0.03,0.81±0.05
Reading,Reading,0.68±0.05,0.75±0.03,0.61±0.05,0.74±0.07,0.56±0.07,0.8±0.06
Language,Language,0.67±0.03,0.7±0.03,0.64±0.04,0.68±0.04,0.65±0.05,0.71±0.05
Memory,Memory,0.67±0.02,0.7±0.03,0.6±0.03,0.7±0.04,0.55±0.03,0.78±0.03
PupilCalib,PupilCalib,0.64±0.04,0.64±0.04,0.6±0.05,0.6±0.05,0.65±0.06,0.64±0.06
