1,metric,model
0.6666666666666666,acc,Eye
0.6875,acc,Eye
0.5454545454545454,acc,Eye
0.6428571428571429,acc,Eye
0.5625,acc,Eye
0.6666666666666666,acc,Eye
0.4,acc,Eye
0.7333333333333333,acc,Eye
0.5,acc,Eye
0.6,acc,Eye
0.7142857142857143,roc,Eye
0.75,roc,Eye
0.7333333333333334,roc,Eye
0.7666666666666666,roc,Eye
0.5476190476190477,roc,Eye
0.7407407407407407,roc,Eye
0.5681818181818181,roc,Eye
0.8055555555555556,roc,Eye
0.5833333333333334,roc,Eye
0.7685185185185185,roc,Eye
0.6666666666666666,fms,Eye
0.6666666666666667,fms,Eye
0.28571428571428575,fms,Eye
0.6666666666666667,fms,Eye
0.5333333333333333,fms,Eye
0.6153846153846153,fms,Eye
0.30769230769230765,fms,Eye
0.7142857142857143,fms,Eye
0.3636363636363636,fms,Eye
0.5714285714285714,fms,Eye
0.7142857142857143,precision,Eye
0.5555555555555556,precision,Eye
0.5,precision,Eye
0.8333333333333334,precision,Eye
0.5,precision,Eye
0.5714285714285714,precision,Eye
0.2222222222222222,precision,Eye
1.0,precision,Eye
0.4,precision,Eye
0.8,precision,Eye
0.625,recall,Eye
0.8333333333333334,recall,Eye
0.2,recall,Eye
0.5555555555555556,recall,Eye
0.5714285714285714,recall,Eye
0.6666666666666666,recall,Eye
0.5,recall,Eye
0.5555555555555556,recall,Eye
0.3333333333333333,recall,Eye
0.4444444444444444,recall,Eye
0.7142857142857143,specificity,Eye
0.6,specificity,Eye
0.8333333333333334,specificity,Eye
0.8,specificity,Eye
0.5555555555555556,specificity,Eye
0.6666666666666666,specificity,Eye
0.36363636363636365,specificity,Eye
1.0,specificity,Eye
0.625,specificity,Eye
0.8333333333333334,specificity,Eye
