1,metric,model
0.7058823529411765,acc,Language
0.6470588235294118,acc,Language
0.5,acc,Language
0.5625,acc,Language
0.6875,acc,Language
0.9375,acc,Language
0.6875,acc,Language
0.75,acc,Language
0.5625,acc,Language
0.8125,acc,Language
0.6714285714285714,roc,Language
0.6944444444444445,roc,Language
0.5158730158730159,roc,Language
0.6090909090909091,roc,Language
0.6825396825396826,roc,Language
1.0,roc,Language
0.6825396825396826,roc,Language
0.6090909090909091,roc,Language
0.5208333333333334,roc,Language
0.9523809523809524,roc,Language
0.7368421052631577,fms,Language
0.5,fms,Language
0.6,fms,Language
0.22222222222222224,fms,Language
0.7058823529411765,fms,Language
0.9473684210526316,fms,Language
0.6666666666666666,fms,Language
0.8333333333333333,fms,Language
0.36363636363636365,fms,Language
0.7692307692307692,fms,Language
0.7777777777777778,precision,Language
0.75,precision,Language
0.5454545454545454,precision,Language
0.25,precision,Language
0.75,precision,Language
0.9,precision,Language
0.625,precision,Language
0.7692307692307693,precision,Language
0.2857142857142857,precision,Language
0.8333333333333334,precision,Language
0.7,recall,Language
0.375,recall,Language
0.6666666666666666,recall,Language
0.2,recall,Language
0.6666666666666666,recall,Language
1.0,recall,Language
0.7142857142857143,recall,Language
0.9090909090909091,recall,Language
0.5,recall,Language
0.7142857142857143,recall,Language
0.7142857142857143,specificity,Language
0.8888888888888888,specificity,Language
0.2857142857142857,specificity,Language
0.7272727272727273,specificity,Language
0.7142857142857143,specificity,Language
0.8571428571428571,specificity,Language
0.6666666666666666,specificity,Language
0.4,specificity,Language
0.5833333333333334,specificity,Language
0.8888888888888888,specificity,Language
