1,metric,model
0.5333333333333333,acc,PupilCalib
0.6153846153846154,acc,PupilCalib
0.46153846153846156,acc,PupilCalib
0.46153846153846156,acc,PupilCalib
0.9166666666666666,acc,PupilCalib
0.6923076923076923,acc,PupilCalib
0.6153846153846154,acc,PupilCalib
1.0,acc,PupilCalib
0.6666666666666666,acc,PupilCalib
0.6153846153846154,acc,PupilCalib
0.64,roc,PupilCalib
0.6527777777777778,roc,PupilCalib
0.5125,roc,PupilCalib
0.44047619047619047,roc,PupilCalib
0.8857142857142857,roc,PupilCalib
0.6875,roc,PupilCalib
0.7023809523809523,roc,PupilCalib
1.0,roc,PupilCalib
0.6805555555555556,roc,PupilCalib
0.2638888888888889,roc,PupilCalib
0.4615384615384615,fms,PupilCalib
0.5454545454545454,fms,PupilCalib
0.3636363636363636,fms,PupilCalib
0.4615384615384615,fms,PupilCalib
0.9090909090909091,fms,PupilCalib
0.75,fms,PupilCalib
0.5454545454545454,fms,PupilCalib
1.0,fms,PupilCalib
0.6666666666666666,fms,PupilCalib
0.7368421052631577,fms,PupilCalib
0.375,precision,PupilCalib
0.42857142857142855,precision,PupilCalib
0.3333333333333333,precision,PupilCalib
0.5,precision,PupilCalib
0.8333333333333334,precision,PupilCalib
0.75,precision,PupilCalib
0.6,precision,PupilCalib
1.0,precision,PupilCalib
0.6666666666666666,precision,PupilCalib
0.7,precision,PupilCalib
0.6,recall,PupilCalib
0.75,recall,PupilCalib
0.4,recall,PupilCalib
0.42857142857142855,recall,PupilCalib
1.0,recall,PupilCalib
0.75,recall,PupilCalib
0.5,recall,PupilCalib
1.0,recall,PupilCalib
0.6666666666666666,recall,PupilCalib
0.7777777777777778,recall,PupilCalib
0.5,specificity,PupilCalib
0.5555555555555556,specificity,PupilCalib
0.5,specificity,PupilCalib
0.5,specificity,PupilCalib
0.8571428571428571,specificity,PupilCalib
0.6,specificity,PupilCalib
0.7142857142857143,specificity,PupilCalib
1.0,specificity,PupilCalib
0.6666666666666666,specificity,PupilCalib
0.25,specificity,PupilCalib
