1,metric,model
0.7647058823529411,acc,Audio
0.6470588235294118,acc,Audio
0.8125,acc,Audio
0.5,acc,Audio
0.5625,acc,Audio
0.75,acc,Audio
0.5625,acc,Audio
0.625,acc,Audio
0.6875,acc,Audio
0.875,acc,Audio
0.7916666666666667,roc,Audio
0.5909090909090908,roc,Audio
0.8363636363636364,roc,Audio
0.546875,roc,Audio
0.7250000000000001,roc,Audio
0.8,roc,Audio
0.6349206349206349,roc,Audio
0.703125,roc,Audio
0.6484375,roc,Audio
0.8454545454545455,roc,Audio
0.7777777777777777,fms,Audio
0.5,fms,Audio
0.8421052631578948,fms,Audio
0.42857142857142855,fms,Audio
0.588235294117647,fms,Audio
0.6666666666666666,fms,Audio
0.5882352941176471,fms,Audio
0.5714285714285715,fms,Audio
0.6153846153846154,fms,Audio
0.8000000000000002,fms,Audio
0.7,precision,Audio
0.5,precision,Audio
1.0,precision,Audio
0.5,precision,Audio
0.7142857142857143,precision,Audio
0.6666666666666666,precision,Audio
0.625,precision,Audio
0.6666666666666666,precision,Audio
0.8,precision,Audio
0.8,precision,Audio
0.875,recall,Audio
0.5,recall,Audio
0.7272727272727273,recall,Audio
0.375,recall,Audio
0.5,recall,Audio
0.6666666666666666,recall,Audio
0.5555555555555556,recall,Audio
0.5,recall,Audio
0.5,recall,Audio
0.8,recall,Audio
0.6666666666666666,specificity,Audio
0.7272727272727273,specificity,Audio
1.0,specificity,Audio
0.625,specificity,Audio
0.6666666666666666,specificity,Audio
0.8,specificity,Audio
0.5714285714285714,specificity,Audio
0.75,specificity,Audio
0.875,specificity,Audio
0.9090909090909091,specificity,Audio
