1,metric,model
0.8333333333333334,acc,ET_Basic
0.625,acc,ET_Basic
0.3333333333333333,acc,ET_Basic
0.6,acc,ET_Basic
0.6923076923076923,acc,ET_Basic
0.6,acc,ET_Basic
0.9230769230769231,acc,ET_Basic
0.6428571428571429,acc,ET_Basic
0.6923076923076923,acc,ET_Basic
0.23076923076923078,acc,ET_Basic
0.7714285714285716,roc,ET_Basic
0.7936507936507937,roc,ET_Basic
0.8,roc,ET_Basic
0.5,roc,ET_Basic
0.8333333333333334,roc,ET_Basic
0.6,roc,ET_Basic
0.95,roc,ET_Basic
0.5777777777777777,roc,ET_Basic
0.8333333333333334,roc,ET_Basic
0.3055555555555556,roc,ET_Basic
0.7499999999999999,fms,ET_Basic
0.5714285714285714,fms,ET_Basic
0.33333333333333337,fms,ET_Basic
0.7142857142857143,fms,ET_Basic
0.6666666666666666,fms,ET_Basic
0.6,fms,ET_Basic
0.9090909090909091,fms,ET_Basic
0.6153846153846154,fms,ET_Basic
0.6666666666666666,fms,ET_Basic
0.28571428571428575,fms,ET_Basic
1.0,precision,ET_Basic
0.5714285714285714,precision,ET_Basic
1.0,precision,ET_Basic
0.8333333333333334,precision,ET_Basic
0.5,precision,ET_Basic
0.6,precision,ET_Basic
0.8333333333333334,precision,ET_Basic
0.5,precision,ET_Basic
0.8,precision,ET_Basic
0.2,precision,ET_Basic
0.6,recall,ET_Basic
0.5714285714285714,recall,ET_Basic
0.2,recall,ET_Basic
0.625,recall,ET_Basic
1.0,recall,ET_Basic
0.6,recall,ET_Basic
1.0,recall,ET_Basic
0.8,recall,ET_Basic
0.5714285714285714,recall,ET_Basic
0.5,recall,ET_Basic
1.0,specificity,ET_Basic
0.6666666666666666,specificity,ET_Basic
1.0,specificity,ET_Basic
0.5,specificity,ET_Basic
0.5555555555555556,specificity,ET_Basic
0.6,specificity,ET_Basic
0.875,specificity,ET_Basic
0.5555555555555556,specificity,ET_Basic
0.8333333333333334,specificity,ET_Basic
0.1111111111111111,specificity,ET_Basic
