1,metric,model
0.6470588235294118,acc,CookieTheft
0.7647058823529411,acc,CookieTheft
0.4375,acc,CookieTheft
0.75,acc,CookieTheft
0.625,acc,CookieTheft
0.5625,acc,CookieTheft
0.8125,acc,CookieTheft
0.9375,acc,CookieTheft
0.75,acc,CookieTheft
0.6875,acc,CookieTheft
0.7285714285714286,roc,CookieTheft
0.8785714285714286,roc,CookieTheft
0.5166666666666666,roc,CookieTheft
0.7857142857142857,roc,CookieTheft
0.640625,roc,CookieTheft
0.5333333333333333,roc,CookieTheft
0.9,roc,CookieTheft
0.9166666666666667,roc,CookieTheft
0.796875,roc,CookieTheft
0.7142857142857142,roc,CookieTheft
0.6666666666666665,fms,CookieTheft
0.75,fms,CookieTheft
0.47058823529411764,fms,CookieTheft
0.7999999999999999,fms,CookieTheft
0.5714285714285715,fms,CookieTheft
0.3636363636363636,fms,CookieTheft
0.7692307692307692,fms,CookieTheft
0.9090909090909091,fms,CookieTheft
0.75,fms,CookieTheft
0.7058823529411765,fms,CookieTheft
0.75,precision,CookieTheft
0.6666666666666666,precision,CookieTheft
0.5714285714285714,precision,CookieTheft
0.7272727272727273,precision,CookieTheft
0.6666666666666666,precision,CookieTheft
0.4,precision,CookieTheft
0.7142857142857143,precision,CookieTheft
1.0,precision,CookieTheft
0.75,precision,CookieTheft
0.75,precision,CookieTheft
0.6,recall,CookieTheft
0.8571428571428571,recall,CookieTheft
0.4,recall,CookieTheft
0.8888888888888888,recall,CookieTheft
0.5,recall,CookieTheft
0.3333333333333333,recall,CookieTheft
0.8333333333333334,recall,CookieTheft
0.8333333333333334,recall,CookieTheft
0.75,recall,CookieTheft
0.6666666666666666,recall,CookieTheft
0.7142857142857143,specificity,CookieTheft
0.7,specificity,CookieTheft
0.5,specificity,CookieTheft
0.5714285714285714,specificity,CookieTheft
0.75,specificity,CookieTheft
0.7,specificity,CookieTheft
0.8,specificity,CookieTheft
1.0,specificity,CookieTheft
0.75,specificity,CookieTheft
0.7142857142857143,specificity,CookieTheft
