1,metric,model
0.7058823529411765,acc,Memory
0.6470588235294118,acc,Memory
0.625,acc,Memory
0.8125,acc,Memory
0.875,acc,Memory
0.4375,acc,Memory
0.6875,acc,Memory
0.75,acc,Memory
0.625,acc,Memory
0.5,acc,Memory
0.8142857142857143,roc,Memory
0.55,roc,Memory
0.7749999999999999,roc,Memory
0.84375,roc,Memory
0.9047619047619049,roc,Memory
0.4444444444444444,roc,Memory
0.6904761904761905,roc,Memory
0.8083333333333333,roc,Memory
0.626984126984127,roc,Memory
0.5793650793650794,roc,Memory
0.6666666666666666,fms,Memory
0.25,fms,Memory
0.7,fms,Memory
0.7692307692307693,fms,Memory
0.8888888888888888,fms,Memory
0.47058823529411764,fms,Memory
0.6153846153846153,fms,Memory
0.7499999999999999,fms,Memory
0.5714285714285714,fms,Memory
0.42857142857142855,fms,Memory
0.625,precision,Memory
0.3333333333333333,precision,Memory
0.7,precision,Memory
1.0,precision,Memory
0.8888888888888888,precision,Memory
0.5,precision,Memory
0.6666666666666666,precision,Memory
1.0,precision,Memory
0.5714285714285714,precision,Memory
0.42857142857142855,precision,Memory
0.7142857142857143,recall,Memory
0.2,recall,Memory
0.7,recall,Memory
0.625,recall,Memory
0.8888888888888888,recall,Memory
0.4444444444444444,recall,Memory
0.5714285714285714,recall,Memory
0.6,recall,Memory
0.5714285714285714,recall,Memory
0.42857142857142855,recall,Memory
0.7,specificity,Memory
0.8333333333333334,specificity,Memory
0.5,specificity,Memory
1.0,specificity,Memory
0.8571428571428571,specificity,Memory
0.42857142857142855,specificity,Memory
0.7777777777777778,specificity,Memory
1.0,specificity,Memory
0.6666666666666666,specificity,Memory
0.5555555555555556,specificity,Memory
