1,metric,model
0.7058823529411765,acc,stack
0.7058823529411765,acc,stack
0.5625,acc,stack
0.5625,acc,stack
0.8125,acc,stack
0.9375,acc,stack
0.75,acc,stack
0.6875,acc,stack
0.8125,acc,stack
0.625,acc,stack
0.9375,roc,stack
0.7285714285714286,roc,stack
0.6666666666666667,roc,stack
0.6984126984126984,roc,stack
0.8984375,roc,stack
0.9487179487179487,roc,stack
0.6875,roc,stack
0.7833333333333333,roc,stack
0.9047619047619048,roc,stack
0.6916666666666668,roc,stack
0.6666666666666667,fms,stack
0.7058823529411764,fms,stack
0.5333333333333333,fms,stack
0.5882352941176471,fms,stack
0.823529411764706,fms,stack
0.8571428571428571,fms,stack
0.75,fms,stack
0.6153846153846153,fms,stack
0.823529411764706,fms,stack
0.6666666666666665,fms,stack
0.8333333333333334,precision,stack
0.8571428571428571,precision,stack
0.5,precision,stack
0.625,precision,stack
0.7777777777777778,precision,stack
0.75,precision,stack
0.75,precision,stack
0.5714285714285714,precision,stack
0.875,precision,stack
0.75,precision,stack
0.5555555555555556,recall,stack
0.6,recall,stack
0.5714285714285714,recall,stack
0.5555555555555556,recall,stack
0.875,recall,stack
1.0,recall,stack
0.75,recall,stack
0.6666666666666666,recall,stack
0.7777777777777778,recall,stack
0.6,recall,stack
0.875,specificity,stack
0.8571428571428571,specificity,stack
0.5555555555555556,specificity,stack
0.5714285714285714,specificity,stack
0.75,specificity,stack
0.9230769230769231,specificity,stack
0.75,specificity,stack
0.7,specificity,stack
0.8571428571428571,specificity,stack
0.6666666666666666,specificity,stack
