1,metric,model
0.7058823529411765,acc,Reading
0.47058823529411764,acc,Reading
0.75,acc,Reading
0.6875,acc,Reading
0.8125,acc,Reading
0.75,acc,Reading
0.625,acc,Reading
0.6875,acc,Reading
0.875,acc,Reading
0.8125,acc,Reading
0.7291666666666666,roc,Reading
0.4722222222222222,roc,Reading
0.8500000000000001,roc,Reading
0.7833333333333333,roc,Reading
0.8174603174603174,roc,Reading
0.7,roc,Reading
0.5818181818181818,roc,Reading
0.6916666666666667,roc,Reading
0.8020833333333334,roc,Reading
0.8500000000000001,roc,Reading
0.7058823529411765,fms,Reading
0.39999999999999997,fms,Reading
0.7499999999999999,fms,Reading
0.6153846153846153,fms,Reading
0.8421052631578948,fms,Reading
0.7499999999999999,fms,Reading
0.7000000000000001,fms,Reading
0.6153846153846153,fms,Reading
0.75,fms,Reading
0.8235294117647058,fms,Reading
0.75,precision,Reading
0.42857142857142855,precision,Reading
0.6,precision,Reading
0.5714285714285714,precision,Reading
0.8,precision,Reading
1.0,precision,Reading
0.7777777777777778,precision,Reading
0.5714285714285714,precision,Reading
0.75,precision,Reading
1.0,precision,Reading
0.6666666666666666,recall,Reading
0.375,recall,Reading
1.0,recall,Reading
0.6666666666666666,recall,Reading
0.8888888888888888,recall,Reading
0.6,recall,Reading
0.6363636363636364,recall,Reading
0.6666666666666666,recall,Reading
0.75,recall,Reading
0.7,recall,Reading
0.75,specificity,Reading
0.5555555555555556,specificity,Reading
0.6,specificity,Reading
0.7,specificity,Reading
0.7142857142857143,specificity,Reading
1.0,specificity,Reading
0.6,specificity,Reading
0.7,specificity,Reading
0.9166666666666666,specificity,Reading
1.0,specificity,Reading
