1,metric,model
0.6875,acc,ET_Basic
0.7333333333333333,acc,ET_Basic
0.7272727272727273,acc,ET_Basic
0.5833333333333334,acc,ET_Basic
0.6,acc,ET_Basic
0.8,acc,ET_Basic
0.5333333333333333,acc,ET_Basic
0.36363636363636365,acc,ET_Basic
0.8181818181818182,acc,ET_Basic
0.6,acc,ET_Basic
0.6904761904761906,roc,ET_Basic
0.7053571428571429,roc,ET_Basic
0.8125,roc,ET_Basic
0.46875,roc,ET_Basic
0.5833333333333334,roc,ET_Basic
0.8200000000000001,roc,ET_Basic
0.5092592592592593,roc,ET_Basic
0.5,roc,ET_Basic
0.8333333333333334,roc,ET_Basic
0.5416666666666666,roc,ET_Basic
0.6666666666666666,fms,ET_Basic
0.75,fms,ET_Basic
0.6666666666666666,fms,ET_Basic
0.6153846153846154,fms,ET_Basic
0.5,fms,ET_Basic
0.8000000000000002,fms,ET_Basic
0.5333333333333333,fms,ET_Basic
0.36363636363636365,fms,ET_Basic
0.8333333333333334,fms,ET_Basic
0.6,fms,ET_Basic
0.625,precision,ET_Basic
0.75,precision,ET_Basic
0.5,precision,ET_Basic
0.8,precision,ET_Basic
0.5,precision,ET_Basic
0.8,precision,ET_Basic
0.4444444444444444,precision,ET_Basic
0.5,precision,ET_Basic
0.8333333333333334,precision,ET_Basic
0.5,precision,ET_Basic
0.7142857142857143,recall,ET_Basic
0.75,recall,ET_Basic
1.0,recall,ET_Basic
0.5,recall,ET_Basic
0.5,recall,ET_Basic
0.8,recall,ET_Basic
0.6666666666666666,recall,ET_Basic
0.2857142857142857,recall,ET_Basic
0.8333333333333334,recall,ET_Basic
0.75,recall,ET_Basic
0.6666666666666666,specificity,ET_Basic
0.7142857142857143,specificity,ET_Basic
0.625,specificity,ET_Basic
0.75,specificity,ET_Basic
0.6666666666666666,specificity,ET_Basic
0.8,specificity,ET_Basic
0.4444444444444444,specificity,ET_Basic
0.5,specificity,ET_Basic
0.8,specificity,ET_Basic
0.5,specificity,ET_Basic
