1,metric,model
0.7058823529411765,acc,Audio
0.8235294117647058,acc,Audio
0.5,acc,Audio
0.625,acc,Audio
0.5625,acc,Audio
0.5625,acc,Audio
0.6875,acc,Audio
0.75,acc,Audio
0.625,acc,Audio
0.625,acc,Audio
0.8,roc,Audio
0.7499999999999999,roc,Audio
0.5234375,roc,Audio
0.734375,roc,Audio
0.6328125,roc,Audio
0.5317460317460317,roc,Audio
0.7708333333333334,roc,Audio
0.7857142857142858,roc,Audio
0.640625,roc,Audio
0.6,roc,Audio
0.7058823529411764,fms,Audio
0.5714285714285715,fms,Audio
0.5555555555555556,fms,Audio
0.6666666666666665,fms,Audio
0.4615384615384615,fms,Audio
0.5333333333333333,fms,Audio
0.761904761904762,fms,Audio
0.75,fms,Audio
0.625,fms,Audio
0.5,fms,Audio
0.8571428571428571,precision,Audio
0.5,precision,Audio
0.5,precision,Audio
0.6,precision,Audio
0.6,precision,Audio
0.5,precision,Audio
0.8888888888888888,precision,Audio
0.8571428571428571,precision,Audio
0.625,precision,Audio
0.5,precision,Audio
0.6,recall,Audio
0.6666666666666666,recall,Audio
0.625,recall,Audio
0.75,recall,Audio
0.375,recall,Audio
0.5714285714285714,recall,Audio
0.6666666666666666,recall,Audio
0.6666666666666666,recall,Audio
0.625,recall,Audio
0.5,recall,Audio
0.8571428571428571,specificity,Audio
0.8571428571428571,specificity,Audio
0.375,specificity,Audio
0.5,specificity,Audio
0.75,specificity,Audio
0.5555555555555556,specificity,Audio
0.75,specificity,Audio
0.8571428571428571,specificity,Audio
0.625,specificity,Audio
0.7,specificity,Audio
