1,metric,model
0.7058823529411765,acc,Memory
0.8235294117647058,acc,Memory
0.5,acc,Memory
0.625,acc,Memory
0.5625,acc,Memory
0.5625,acc,Memory
0.6875,acc,Memory
0.75,acc,Memory
0.625,acc,Memory
0.625,acc,Memory
0.8,roc,Memory
0.7499999999999999,roc,Memory
0.5234375,roc,Memory
0.734375,roc,Memory
0.6328125,roc,Memory
0.5317460317460317,roc,Memory
0.7708333333333334,roc,Memory
0.7857142857142858,roc,Memory
0.640625,roc,Memory
0.6,roc,Memory
0.7058823529411764,fms,Memory
0.5714285714285715,fms,Memory
0.5555555555555556,fms,Memory
0.6666666666666665,fms,Memory
0.4615384615384615,fms,Memory
0.5333333333333333,fms,Memory
0.761904761904762,fms,Memory
0.75,fms,Memory
0.625,fms,Memory
0.5,fms,Memory
0.8571428571428571,precision,Memory
0.5,precision,Memory
0.5,precision,Memory
0.6,precision,Memory
0.6,precision,Memory
0.5,precision,Memory
0.8888888888888888,precision,Memory
0.8571428571428571,precision,Memory
0.625,precision,Memory
0.5,precision,Memory
0.6,recall,Memory
0.6666666666666666,recall,Memory
0.625,recall,Memory
0.75,recall,Memory
0.375,recall,Memory
0.5714285714285714,recall,Memory
0.6666666666666666,recall,Memory
0.6666666666666666,recall,Memory
0.625,recall,Memory
0.5,recall,Memory
0.8571428571428571,specificity,Memory
0.8571428571428571,specificity,Memory
0.375,specificity,Memory
0.5,specificity,Memory
0.75,specificity,Memory
0.5555555555555556,specificity,Memory
0.75,specificity,Memory
0.8571428571428571,specificity,Memory
0.625,specificity,Memory
0.7,specificity,Memory
