1,metric,model
0.35294117647058826,acc,stack
0.7647058823529411,acc,stack
0.75,acc,stack
0.625,acc,stack
0.75,acc,stack
0.5,acc,stack
0.625,acc,stack
0.75,acc,stack
0.8125,acc,stack
0.8125,acc,stack
0.4615384615384615,roc,stack
0.7638888888888888,roc,stack
0.8250000000000001,roc,stack
0.6636363636363637,roc,stack
0.8272727272727274,roc,stack
0.5625,roc,stack
0.6000000000000001,roc,stack
0.8166666666666667,roc,stack
0.828125,roc,stack
0.8645833333333333,roc,stack
0.26666666666666666,fms,stack
0.7142857142857143,fms,stack
0.7777777777777777,fms,stack
0.25,fms,stack
0.7777777777777778,fms,stack
0.5555555555555556,fms,stack
0.4,fms,stack
0.7499999999999999,fms,stack
0.823529411764706,fms,stack
0.7272727272727273,fms,stack
0.18181818181818182,precision,stack
1.0,precision,stack
0.875,precision,stack
0.3333333333333333,precision,stack
1.0,precision,stack
0.8333333333333334,precision,stack
0.5,precision,stack
1.0,precision,stack
0.7777777777777778,precision,stack
0.5714285714285714,precision,stack
0.5,recall,stack
0.5555555555555556,recall,stack
0.7,recall,stack
0.2,recall,stack
0.6363636363636364,recall,stack
0.4166666666666667,recall,stack
0.3333333333333333,recall,stack
0.6,recall,stack
0.875,recall,stack
1.0,recall,stack
0.3076923076923077,specificity,stack
1.0,specificity,stack
0.8333333333333334,specificity,stack
0.8181818181818182,specificity,stack
1.0,specificity,stack
0.75,specificity,stack
0.8,specificity,stack
1.0,specificity,stack
0.75,specificity,stack
0.75,specificity,stack
