1,metric,model
0.5882352941176471,acc,Language
0.7058823529411765,acc,Language
0.625,acc,Language
0.5625,acc,Language
0.6875,acc,Language
0.5625,acc,Language
0.6875,acc,Language
0.5625,acc,Language
0.625,acc,Language
0.625,acc,Language
0.6805555555555556,roc,Language
0.7222222222222223,roc,Language
0.6181818181818182,roc,Language
0.6166666666666667,roc,Language
0.8125,roc,Language
0.5666666666666667,roc,Language
0.6825396825396826,roc,Language
0.5873015873015872,roc,Language
0.7142857142857142,roc,Language
0.7083333333333334,roc,Language
0.5333333333333333,fms,Language
0.7058823529411765,fms,Language
0.4000000000000001,fms,Language
0.4615384615384615,fms,Language
0.5454545454545454,fms,Language
0.5333333333333333,fms,Language
0.6666666666666667,fms,Language
0.5882352941176471,fms,Language
0.5714285714285714,fms,Language
0.7,fms,Language
0.5714285714285714,precision,Language
0.75,precision,Language
0.4,precision,Language
1.0,precision,Language
0.42857142857142855,precision,Language
0.4444444444444444,precision,Language
0.8333333333333334,precision,Language
0.625,precision,Language
0.8,precision,Language
0.7,precision,Language
0.5,recall,Language
0.6666666666666666,recall,Language
0.4,recall,Language
0.3,recall,Language
0.75,recall,Language
0.6666666666666666,recall,Language
0.5555555555555556,recall,Language
0.5555555555555556,recall,Language
0.4444444444444444,recall,Language
0.7,recall,Language
0.6666666666666666,specificity,Language
0.75,specificity,Language
0.7272727272727273,specificity,Language
1.0,specificity,Language
0.6666666666666666,specificity,Language
0.5,specificity,Language
0.8571428571428571,specificity,Language
0.5714285714285714,specificity,Language
0.8571428571428571,specificity,Language
0.5,specificity,Language
