1,metric,model
0.8235294117647058,acc,NLP_Reading
0.8235294117647058,acc,NLP_Reading
0.75,acc,NLP_Reading
0.625,acc,NLP_Reading
0.6875,acc,NLP_Reading
0.75,acc,NLP_Reading
0.6875,acc,NLP_Reading
0.75,acc,NLP_Reading
0.5625,acc,NLP_Reading
0.75,acc,NLP_Reading
0.8030303030303029,roc,NLP_Reading
0.807142857142857,roc,NLP_Reading
0.8253968253968254,roc,NLP_Reading
0.6636363636363636,roc,NLP_Reading
0.7166666666666668,roc,NLP_Reading
0.7063492063492064,roc,NLP_Reading
0.7416666666666667,roc,NLP_Reading
0.7539682539682541,roc,NLP_Reading
0.59375,roc,NLP_Reading
0.7857142857142857,roc,NLP_Reading
0.7272727272727272,fms,NLP_Reading
0.8235294117647058,fms,NLP_Reading
0.75,fms,NLP_Reading
0.6666666666666665,fms,NLP_Reading
0.7368421052631577,fms,NLP_Reading
0.7142857142857143,fms,NLP_Reading
0.5454545454545454,fms,NLP_Reading
0.7142857142857143,fms,NLP_Reading
0.36363636363636365,fms,NLP_Reading
0.7142857142857143,fms,NLP_Reading
0.8,precision,NLP_Reading
1.0,precision,NLP_Reading
0.8571428571428571,precision,NLP_Reading
0.8571428571428571,precision,NLP_Reading
0.7777777777777778,precision,NLP_Reading
0.7142857142857143,precision,NLP_Reading
0.6,precision,NLP_Reading
0.7142857142857143,precision,NLP_Reading
0.2857142857142857,precision,NLP_Reading
1.0,precision,NLP_Reading
0.6666666666666666,recall,NLP_Reading
0.7,recall,NLP_Reading
0.6666666666666666,recall,NLP_Reading
0.5454545454545454,recall,NLP_Reading
0.7,recall,NLP_Reading
0.7142857142857143,recall,NLP_Reading
0.5,recall,NLP_Reading
0.7142857142857143,recall,NLP_Reading
0.5,recall,NLP_Reading
0.5555555555555556,recall,NLP_Reading
0.9090909090909091,specificity,NLP_Reading
1.0,specificity,NLP_Reading
0.8571428571428571,specificity,NLP_Reading
0.8,specificity,NLP_Reading
0.6666666666666666,specificity,NLP_Reading
0.7777777777777778,specificity,NLP_Reading
0.8,specificity,NLP_Reading
0.7777777777777778,specificity,NLP_Reading
0.5833333333333334,specificity,NLP_Reading
1.0,specificity,NLP_Reading
