1,metric,model
0.7058823529411765,acc,CookieTheft
0.7647058823529411,acc,CookieTheft
0.6875,acc,CookieTheft
0.8125,acc,CookieTheft
0.875,acc,CookieTheft
0.8125,acc,CookieTheft
0.75,acc,CookieTheft
0.6875,acc,CookieTheft
0.75,acc,CookieTheft
0.6875,acc,CookieTheft
0.6875,roc,CookieTheft
0.6916666666666667,roc,CookieTheft
0.7222222222222221,roc,CookieTheft
0.7936507936507936,roc,CookieTheft
0.8888888888888888,roc,CookieTheft
0.8968253968253967,roc,CookieTheft
0.8,roc,CookieTheft
0.8046875,roc,CookieTheft
0.5833333333333333,roc,CookieTheft
0.6984126984126984,roc,CookieTheft
0.6666666666666667,fms,CookieTheft
0.6,fms,CookieTheft
0.6153846153846153,fms,CookieTheft
0.7272727272727273,fms,CookieTheft
0.8333333333333333,fms,CookieTheft
0.8,fms,CookieTheft
0.7777777777777777,fms,CookieTheft
0.5454545454545454,fms,CookieTheft
0.6,fms,CookieTheft
0.6153846153846153,fms,CookieTheft
0.8333333333333334,precision,CookieTheft
0.6,precision,CookieTheft
1.0,precision,CookieTheft
1.0,precision,CookieTheft
1.0,precision,CookieTheft
1.0,precision,CookieTheft
0.875,precision,CookieTheft
1.0,precision,CookieTheft
0.75,precision,CookieTheft
1.0,precision,CookieTheft
0.5555555555555556,recall,CookieTheft
0.6,recall,CookieTheft
0.4444444444444444,recall,CookieTheft
0.5714285714285714,recall,CookieTheft
0.7142857142857143,recall,CookieTheft
0.6666666666666666,recall,CookieTheft
0.7,recall,CookieTheft
0.375,recall,CookieTheft
0.5,recall,CookieTheft
0.4444444444444444,recall,CookieTheft
0.875,specificity,CookieTheft
0.8333333333333334,specificity,CookieTheft
1.0,specificity,CookieTheft
1.0,specificity,CookieTheft
1.0,specificity,CookieTheft
1.0,specificity,CookieTheft
0.8333333333333334,specificity,CookieTheft
1.0,specificity,CookieTheft
0.9,specificity,CookieTheft
1.0,specificity,CookieTheft
