1,metric,model
0.7647058823529411,acc,Language
0.7647058823529411,acc,Language
0.8125,acc,Language
0.75,acc,Language
0.625,acc,Language
0.5,acc,Language
0.625,acc,Language
0.75,acc,Language
0.75,acc,Language
0.6875,acc,Language
0.6857142857142857,roc,Language
0.8541666666666666,roc,Language
0.8571428571428571,roc,Language
0.725,roc,Language
0.47916666666666663,roc,Language
0.5476190476190477,roc,Language
0.8214285714285714,roc,Language
0.75,roc,Language
0.8250000000000001,roc,Language
0.7166666666666666,roc,Language
0.7142857142857143,fms,Language
0.7777777777777777,fms,Language
0.8421052631578948,fms,Language
0.8000000000000002,fms,Language
0.4,fms,Language
0.5,fms,Language
0.7272727272727273,fms,Language
0.75,fms,Language
0.7142857142857143,fms,Language
0.5454545454545454,fms,Language
0.7142857142857143,precision,Language
0.7,precision,Language
0.8,precision,Language
0.8,precision,Language
0.3333333333333333,precision,Language
0.4444444444444444,precision,Language
1.0,precision,Language
0.75,precision,Language
0.625,precision,Language
0.6,precision,Language
0.7142857142857143,recall,Language
0.875,recall,Language
0.8888888888888888,recall,Language
0.8,recall,Language
0.5,recall,Language
0.5714285714285714,recall,Language
0.5714285714285714,recall,Language
0.75,recall,Language
0.8333333333333334,recall,Language
0.5,recall,Language
0.8,specificity,Language
0.6666666666666666,specificity,Language
0.7142857142857143,specificity,Language
0.6666666666666666,specificity,Language
0.6666666666666666,specificity,Language
0.4444444444444444,specificity,Language
1.0,specificity,Language
0.75,specificity,Language
0.7,specificity,Language
0.8,specificity,Language
